※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2020/2/1,0時,100934.1,6484,254,5804.2,84931.8,1693.9,1666.2,0,0,0,99
2020/2/1,1時,98909.4,6484,256,5745.2,83189.1,1689.9,1604.2,0,0,0,-59
2020/2/1,2時,99549.8,6485,254,5968.2,83464.9,1690.9,1604.8,0,0,0,79
2020/2/1,3時,99833.2,6480,254,6122.2,83557,1686.9,1581.1,0,0,0,156
2020/2/1,4時,98882.3,6483,258,6218.2,82411.3,1682.9,1525.9,0,0,0,302
2020/2/1,5時,98133.4,6485,252,6158.2,82018.9,1686.9,1437.4,0,0,0,92
2020/2/1,6時,101380,6479,253,6354.2,85829.8,1682.9,1365.1,0,0,0,-582
2020/2/1,7時,106171.6,6482,254,7077.2,86990.2,1678.9,1303.8,0,2385.5,0,4
2020/2/1,8時,111274.6,6483,253,6819.2,83682.4,1677.2,1270.4,0,11116.4,0,-27
2020/2/1,9時,110999.9,6485,254,6450.2,75365.5,1701.2,1247,0,19862,0,-356
2020/2/1,10時,107975.8,6485,256,5347.2,67999.4,1711.2,1300.1,0,26479.9,0,-1604
2020/2/1,11時,105684.3,6484,254,5196.2,64239.7,1652.2,1386.9,0,29132.3,1,-2661
2020/2/1,12時,101240.5,6488,254,5097.2,62291,1656.2,1470.6,0,28648.5,1,-4662
2020/2/1,13時,99921.4,6483,253,5226.2,62837,1649.2,1532.3,0,25837.7,1,-3896
2020/2/1,14時,98299.5,6482,254,5255.2,64747.5,1682.2,1576.1,0,21064.5,1,-2760
2020/2/1,15時,98665.5,6486,254,6214.2,70769.8,1703.2,1543.6,0,13635.7,0,-1940
2020/2/1,16時,102183,6478,254,7433.2,79372.8,1680.2,1457.1,0,4677.7,0,832
2020/2/1,17時,109831,6477,257,8642.2,87314.2,1669.2,1435.9,0,316.5,0,3717
2020/2/1,18時,113820.9,6502,254,9172.2,90453.5,1668.2,1368,0,1,0,4406
2020/2/1,19時,112764,6529,255,9030.2,90926.8,1665.2,1244.8,0,0,0,3106
2020/2/1,20時,110789.1,6550,255,8434.2,90814.3,1664.9,1228.7,0,0,0,1838
2020/2/1,21時,107131.7,6574,254,6820.2,89422.2,1669.9,1170.4,0,0,0,1226
2020/2/1,22時,102468.6,6593,255,5927.2,86208.1,1689.9,1149.4,0,0,0,649
2020/2/1,23時,99385.4,6589,255,5643.2,83507.9,1688.9,1226.4,0,0,0,476
2020/2/2,0時,94818.9,6609,254,5404.2,79425.2,1693.3,1184.2,0,0,0,247
2020/2/2,1時,93353.9,6634,254,5358.2,78018.2,1677.3,1185.2,0,0,0,230
2020/2/2,2時,94512.8,6658,255,5707.2,78670,1679.3,1179.3,0,0,0,371
2020/2/2,3時,94754,6688,253,6009.2,78562.1,1685.3,1175.4,0,0,0,382
2020/2/2,4時,93980,6709,256,5936.2,77753.4,1690.3,1209.1,0,0,0,419
2020/2/2,5時,92515.4,6735,254,5698.2,77030.5,1681.3,1136.4,0,0,0,-14
2020/2/2,6時,93882,6765,254,6031.2,78136.1,1686.3,1077.4,0,0,0,-61
2020/2/2,7時,97391.2,6777,254,6043.2,77511,1707.3,1082.6,0,2559.1,0,1457
2020/2/2,8時,101037.2,6788,254,6549.2,71870.8,1718.6,1006.5,1,11697.1,188,1152
2020/2/2,9時,100987.8,6788,254,6166.2,64900.4,1740.6,1066.1,5,21110.5,435,-1037
2020/2/2,10時,97100,6786,255,5343.2,59835.6,1720.6,1178,10,27938.6,689,-5959
2020/2/2,11時,94182.9,6789,254,5247.2,58390,1700.6,1323.1,10,30826,830,-10354
2020/2/2,12時,92249.1,6790,255,5152.2,58086.2,1718.6,1434.1,13,30631,933,-11812
2020/2/2,13時,90124.9,6788,253,5212.2,58913.1,1705.6,1398.1,19,27445.9,891,-11593
2020/2/2,14時,88317.8,6791,255,5276.2,60728.9,1689.6,1398,27,21680.1,754,-9508
2020/2/2,15時,89354.2,6807,254,6022.2,64369.3,1703.6,1339.2,32,13652.9,535,-4791
2020/2/2,16時,93939.4,6828,255,7462.2,73109.1,1697.6,1230,0,4444.5,0,-1092
2020/2/2,17時,104385.2,6849,256,8338.2,84877.8,1694.6,1149,0,286.6,0,932
2020/2/2,18時,109805.9,6881,255,8936.2,88952.1,1693.6,1113,0,0,0,1971
2020/2/2,19時,109720.1,6895,254,8929.2,88926.3,1697.6,1058,0,0,0,1962
2020/2/2,20時,108161.6,6908,255,8313.2,88676.1,1708.3,925,0,0,0,1372
