※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2020/11/1,0時,71972,2295,288,4192,62799,1496,685,0,0,0,208
2020/11/1,1時,70340,2295,287,4257,61150,1441,762,0,0,0,140
2020/11/1,2時,72633,2296,288,4540,62940,1454,780,0,0,0,327
2020/11/1,3時,75962,2295,287,4874,65049,1454,772,0,0,0,1239
2020/11/1,4時,77178,2292,288,5030,65936,1445,803,0,0,0,1381
2020/11/1,5時,76388,2295,287,4946,65697,1432,874,0,0,0,858
2020/11/1,6時,74851,2295,290,4579,64060,1434,940,0,871,0,373
2020/11/1,7時,75610,2298,286,4163,58367,1431,906,0,8089,0,67
2020/11/1,8時,77610,2297,288,3945,54518,1458,817,0,17685,0,-3399
2020/11/1,9時,79402,2297,287,4101,52647,1461,693,0,24689,0,-6776
2020/11/1,10時,78891,2296,285,4054,49522,1469,681,0,29268,0,-8685
2020/11/1,11時,79114,2295,292,3969,49932,1510,687,0,30911,0,-10485
2020/11/1,12時,78975,2295,312,3978,52534,1514,709,0,26969,0,-9338
2020/11/1,13時,79076,2295,317,4167,54313,1496,771,0,22188,0,-6473
2020/11/1,14時,78516,2297,316,4410,57290,1453,739,0,13930,0,-1920
2020/11/1,15時,78191,2296,318,4997,62514,1448,730,0,5835,0,58
2020/11/1,16時,82032,2297,319,6107,69032,1444,750,0,1203,0,882
2020/11/1,17時,88469,2296,318,6872,74257,1438,836,0,22,0,2422
2020/11/1,18時,89500,2296,319,6988,75353,1442,865,0,0,0,2241
2020/11/1,19時,87546,2298,318,6581,74693,1442,949,0,0,0,1264
2020/11/1,20時,84984,2297,318,5651,73720,1439,934,0,0,0,625
2020/11/1,21時,80991,2298,318,4824,70837,1445,899,0,0,0,368
2020/11/1,22時,76487,2298,319,4618,67403,1445,894,0,0,0,-487
