※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2021/2/1,0時,96044.1,4167,336,3907.9,86213.6,1604.9,939.7,0,0,0,-1121
2021/2/1,1時,95433,4167,336,3828.9,86878.5,1595.9,955.7,0,0,0,-2330
2021/2/1,2時,97008.3,4168,336,3899.9,87871.7,1596.9,997.8,0,0,0,-1858
2021/2/1,3時,98185.8,4167,336,4208.9,89296.4,1599.9,929.6,0,0,0,-2358
2021/2/1,4時,99077.5,4166,336,4264.9,89715,1598.9,925.7,0,0,0,-1922
2021/2/1,5時,103190.4,4162,336,4552.9,92188,1588.9,1018.6,0,0,0,-661
2021/2/1,6時,114510.2,4165,335,5002.9,101028.5,1590.9,1135.9,0,8,0,1246
2021/2/1,7時,125375.3,4167,337,5488.9,106577.1,1583.9,1201.6,0,2116.8,0,3897
2021/2/1,8時,136976.6,4167,335,5888.9,108707.6,1583.9,1202.6,0,9568.6,0,5526
2021/2/1,9時,140840.4,4169,336,5602.9,107119.7,1570.9,1159.8,0,15643.1,0,5231
2021/2/1,10時,136194.5,4167,335,5064.9,102382.2,1578.9,1212,0,20479.5,0,977
2021/2/1,11時,132662.9,4170,337,4829.9,98494.1,1588.9,1361,0,22358,0,-480
2021/2/1,12時,125105.3,4166,333,4543.9,95228.9,1575.9,1497.2,0,19148.4,0,-1392
2021/2/1,13時,126990.6,4166,336,4505.9,99349.6,1567.9,1547.3,0,16574.9,0,-1056
2021/2/1,14時,125418.6,4165,335,4828.9,100644.5,1554.9,1585.3,0,12333,0,-29
2021/2/1,15時,125511.7,4165,337,5347.9,104044.4,1557.9,1692.7,0,6971.8,0,1396
2021/2/1,16時,128283.1,4166,334,6262.9,108179.3,1563.9,1695.5,0,2043.5,0,4035
2021/2/1,17時,130495.6,4155,334,7063.9,109600.1,1533.9,1741.4,0,98.3,0,5971
2021/2/1,18時,129518.2,4153,333,7372.9,109068.7,1539.9,1820.2,0,1.5,0,5226
2021/2/1,19時,124573.5,4157,332,6896.9,106889.6,1540.9,1896.1,0,0,0,2860
2021/2/1,20時,119007.3,4163,333,6180.9,103991.4,1541.9,1874.1,0,0,0,921
2021/2/1,21時,113321.2,4164,335,5343.9,99841.1,1540.9,1962.3,0,0,0,141
2021/2/1,22時,106746.6,4163,333,5037.9,93826.5,1526.9,1905.3,0,0,0,-47
2021/2/1,23時,101393.8,4166,334,4860.9,90038.7,1528.9,1879.3,0,0,0,-1411
2021/2/2,0時,95493.3,4160,334,4487.9,87314.2,1533.9,2086.3,0,0,0,-4426
2021/2/2,1時,94423.8,4164,332,4592.9,86512.7,1533.9,2301.3,0,0,0,-5019
2021/2/2,2時,96022.9,4166,334,4917.9,86876.6,1536.9,2257.5,0,0,0,-4063
2021/2/2,3時,97328.9,4167,336,5153.9,87222.7,1532.9,2396.4,0,0,0,-3484
2021/2/2,4時,97892.5,4168,335,5458.9,86569.2,1535.9,2460.5,0,0,0,-2633
2021/2/2,5時,100027.8,4165,337,5841.9,86877.2,1539.9,2447.8,0,0,0,-1186
2021/2/2,6時,107607.1,4169,336,6518.9,92603.3,1544.9,2552,0,2,0,-119
2021/2/2,7時,116218.9,4168,335,6823.9,98350.1,1543.9,2625.2,0,1026.8,0,1348
2021/2/2,8時,126852.7,4167,336,7025.9,102402.2,1560.9,2724.7,0,6175,0,2459
2021/2/2,9時,129784.1,4169,336,6780.9,98580.2,1567.9,2877.7,0,15335.4,0,138
2021/2/2,10時,126603.6,4171,329,6127.9,88598,1604.9,2830.3,0,25501.5,0,-2561
2021/2/2,11時,122643.3,4169,324,6103.9,81048.1,1603.9,2771,0,30710.4,0,-4089
2021/2/2,12時,115891.4,4167,325,5991.9,75661.7,1601.9,2746.2,0,32854.7,0,-7453
2021/2/2,13時,118961.6,4169,323,6240.9,78237.4,1605.9,2782.3,0,31192.1,0,-5585
2021/2/2,14時,118427.2,4166,333,6464.9,81176.4,1594.9,2789.2,0,25176.8,0,-3270
2021/2/2,15時,119028,4165,338,6785.9,89329.4,1571.9,2761.5,0,16246.3,0,-2167
2021/2/2,16時,122955.4,4161,340,7824.9,100464.2,1566.9,2755.9,0,5865.5,0,-11
2021/2/2,17時,127736.6,4159,340,8668.9,107083.5,1541.9,2731.1,0,446.2,0,2766
2021/2/2,18時,129890,4159,341,8958.9,108168.8,1550.9,2694.7,0,1.7,0,4013
2021/2/2,19時,126897.8,4167,342,8393.9,106424.6,1545.9,2599.4,0,0,0,3424
2021/2/2,20時,122938.1,4167,344,7418.9,104993.8,1545.9,2560.5,0,0,0,1910
2021/2/2,21時,118364.5,4168,343,6604.9,102343.6,1546.9,2593.1,0,0,0,764
2021/2/2,22時,112421.9,4169,342,6051.9,97461.7,1531.9,2600.4,0,0,0,268
2021/2/2,23時,108258.4,4171,341,5601.9,93918.4,1531.9,2563.2,0,0,0,129
2021/2/3,0時,102889.9,4171,341,5482.9,89905.3,1542.9,2389.8,0,0,0,-935
2021/2/3,1時,101824.6,4168,340,5457.9,90167.4,1529.9,2417.4,0,0,0,-2254
2021/2/3,2時,103518.3,4169,340,5526.9,91370.9,1531.9,2453.6,0,0,0,-1878
2021/2/3,3時,104458.4,4171,340,5597.9,91677.9,1531.9,2418.7,0,0,0,-1285
2021/2/3,4時,105053.3,4168,338,5732.9,91119.8,1533.9,2404.7,0,0,0,-244
2021/2/3,5時,108380.5,4169,338,6453.9,93323.2,1534.9,2478.5,0,0,0,88
2021/2/3,6時,118749,4167,338,6663.9,101819.4,1534.9,2535.8,0,7,0,1681
2021/2/3,7時,127380.6,4168,337,6916.9,105903.1,1543.9,2478,0,2647.7,0,3382
2021/2/3,8時,136210.5,4170,337,7296.9,105991,1565.9,2427,0,11681.7,0,2735
2021/2/3,9時,138850.8,4170,337,6909.9,101373.9,1577.9,2360.5,0,21166.6,0,957
