※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2024/11/1,0:00,"73,495 ","9,832 ",286 ,"6,447 ","54,111 ","2,841 ",721 ,0 ,1 ,0 ,-744 ,,,,,
2024/11/1,1:00,"71,042 ","9,836 ",288 ,"6,442 ","52,294 ","2,829 ",662 ,0 ,1 ,0 ,"-1,299 ",,,,,
2024/11/1,2:00,"72,104 ","9,833 ",288 ,"6,540 ","52,930 ","2,824 ",673 ,0 ,1 ,0 ,-987 ,,,,,
2024/11/1,3:00,"75,327 ","9,833 ",287 ,"6,562 ","55,511 ","2,804 ",628 ,0 ,1 ,0 ,-281 ,,,,,
2024/11/1,4:00,"77,582 ","9,833 ",288 ,"6,710 ","57,512 ","2,805 ",579 ,0 ,2 ,0 ,-126 ,,,,,
2024/11/1,5:00,"78,980 ","9,835 ",286 ,"6,758 ","58,851 ","2,805 ",633 ,0 ,3 ,0 ,-185 ,,,,,
2024/11/1,6:00,"80,329 ","9,835 ",284 ,"6,570 ","59,326 ","2,777 ",612 ,0 ,896 ,0 ,42 ,,,,,
2024/11/1,7:00,"84,228 ","9,838 ",285 ,"6,561 ","57,177 ","2,762 ",584 ,0 ,"6,988 ",0 ,31 ,,,,,
2024/11/1,8:00,"92,302 ","9,836 ",283 ,"6,890 ","57,040 ","2,738 ",533 ,0 ,"15,346 ",0 ,-368 ,,,,,
2024/11/1,9:00,"98,944 ","9,838 ",282 ,"6,898 ","57,720 ","2,715 ",496 ,0 ,"21,815 ",0 ,-821 ,,,,,
2024/11/1,10:00,"100,641 ","9,837 ",283 ,"6,725 ","58,453 ","2,722 ",424 ,0 ,"23,768 ",0 ,"-1,562 ",,,,,
2024/11/1,11:00,"100,979 ","9,836 ",284 ,"6,659 ","60,260 ","2,721 ",417 ,0 ,"21,614 ",0 ,-804 ,,,,,
2024/11/1,12:00,"95,911 ","9,841 ",285 ,"6,622 ","60,309 ","2,720 ",423 ,0 ,"16,527 ",0 ,-807 ,,,,,
2024/11/1,13:00,"100,624 ","9,835 ",284 ,"6,831 ","67,691 ","2,711 ",446 ,0 ,"11,015 ",0 ,"1,824 ",,,,,
2024/11/1,14:00,"100,819 ","9,838 ",283 ,"7,069 ","72,130 ","2,721 ",469 ,0 ,"6,141 ",0 ,"2,178 ",,,,,
2024/11/1,15:00,"100,147 ","9,834 ",283 ,"7,893 ","73,541 ","2,686 ",465 ,0 ,"2,677 ",0 ,"2,772 ",,,,,
2024/11/1,16:00,"101,293 ","9,838 ",284 ,"8,898 ","74,606 ","2,727 ",489 ,0 ,580 ,0 ,"3,892 ",,,,,
2024/11/1,17:00,"99,533 ","9,833 ",285 ,"8,967 ","73,770 ","2,761 ",509 ,0 ,24 ,0 ,"3,402 ",,,,,
2024/11/1,18:00,"96,789 ","9,833 ",284 ,"9,093 ","71,904 ","2,769 ",512 ,0 ,2 ,0 ,"2,414 ",,,,,
2024/11/1,19:00,"93,107 ","9,834 ",284 ,"8,644 ","69,078 ","2,786 ",630 ,0 ,3 ,0 ,"1,856 ",,,,,
2024/11/1,20:00,"89,395 ","9,840 ",283 ,"8,088 ","66,379 ","2,804 ",707 ,0 ,4 ,0 ,"1,302 ",,,,,
