※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2019/5/1,0時,68963.2,7970,262,9149.2,51175.2,931.3,513.5,0,0,0,-1037
2019/5/1,1時,67733.3,7969,264,8988.2,50627.3,943.3,452.5,0,0,0,-1513
2019/5/1,2時,69798.7,7970,265,9237.2,51813.8,933.3,396.4,0,0,0,-817
2019/5/1,3時,72005.7,7973,263,9472.2,52838.5,943.3,356.7,0,0,0,156
2019/5/1,4時,71982.6,7972,260,9786.2,52604.3,933.3,336.8,0,3,0,86
2019/5/1,5時,70000,7974,262,9598.2,50882.5,928.3,316,0,442,0,-406
2019/5/1,6時,68610.2,7973,263,9174.2,48577,931.3,295.3,0,2577.4,0,-1181
2019/5/1,7時,71053.4,7973,262,9249.2,47337.5,933.3,281.8,0,6243.6,0,-1226
2019/5/1,8時,75215.5,7973,261,9361.2,47435,924.6,235.2,0,10179.5,0,-1146
2019/5/1,9時,78920.5,7971,263,8984.2,47643.6,902.6,230.4,0,13655.7,0,-728
2019/5/1,10時,79637.1,7968,260,8929.2,46294.8,898.6,229.6,0,15651.9,0,-598
2019/5/1,11時,80604.2,7970,264,8826.2,46600.4,904.6,254.8,0,16732.2,0,-945
2019/5/1,12時,79709.7,7974,262,8600.2,47236.3,902.6,245.7,0,15245.9,0,-754
2019/5/1,13時,79488.1,7972,264,8707.2,49297.5,900.6,294.3,0,11207.5,0,844
2019/5/1,14時,78166.1,7971,262,8778.2,51087.4,903.6,303.3,0,7475.6,0,1384
2019/5/1,15時,78265.9,7974,263,9024.2,52993.9,922.6,334.1,0,4990.1,0,1766
2019/5/1,16時,79559.8,7974,264,9710.2,54880.7,935.6,412.3,0,2799,0,2587
2019/5/1,17時,82369.3,7967,264,10438.2,57133,946.6,457,0,1450.5,0,3712
2019/5/1,18時,85104.2,7969,265,11283.2,58773.2,947.6,487.4,0,332.8,0,5048
2019/5/1,19時,85054.3,7971,264,11380.2,58374.8,947.6,514.7,0,2,0,5609
2019/5/1,20時,82433.1,7975,263,10938.2,57707.8,948.3,528.8,0,0,0,4067
2019/5/1,21時,78261.9,7975,264,10033.2,56296,947.3,611.4,0,0,0,2130
2019/5/1,22時,73900.6,7975,264,9353.2,54097.2,943.3,694.9,0,0,0,570
2019/5/1,23時,70293.6,7974,262,9165.2,50926.3,948.3,728.8,0,0,0,287
2019/5/2,0時,66355.1,7972,263,8919.2,47737.3,967.3,764.3,0,0,0,-269
2019/5/2,1時,65451.8,7974,264,9022.2,47814.6,966.3,758.7,0,0,0,-1343
2019/5/2,2時,67839.3,7969,265,9386.2,48814.8,961.3,897,0,0,0,-455
2019/5/2,3時,70020.9,7970,264,9799.2,49587.4,964.3,1030,0,0,0,406
2019/5/2,4時,70526.5,7971,263,9947.2,49087.2,966.3,1173.8,0,3,0,1123
2019/5/2,5時,68720.3,7973,262,9672.2,47481.2,966.3,1220.6,0,867,0,280
2019/5/2,6時,67224.1,7976,264,9243.2,43494.4,968.3,1260.6,0,5920.6,0,-1896
2019/5/2,7時,68868.7,7976,263,9076.2,39311.6,951.3,1246.3,0,14862.3,0,-4808
2019/5/2,8時,73233.8,7974,264,9014.2,38480.2,943.6,1299.1,0,22047.7,671,-6787
2019/5/2,9時,76281.8,7975,265,8822.2,37001.5,923.6,1348.7,0,26623.8,1317,-6685
2019/5/2,10時,77459.3,7971,264,8675.2,36596,925.6,1348.3,0,29867.2,1667.5,-8189
2019/5/2,11時,77727.8,7973,265,8514.2,34754.3,925.6,1412.1,0,32526.6,1823.9,-8637
2019/5/2,12時,76877.5,7973,265,8384.2,33932.5,930.6,1420.8,0,34150.4,1883.6,-10182
2019/5/2,13時,76913.3,7971,264,8341.2,34225.2,928.6,1420.2,0,33654.1,1784.9,-9893
2019/5/2,14時,76001.1,7971,266,8301.2,35700.1,934.6,1477.1,0,29169.1,1524.1,-7815
2019/5/2,15時,75525.4,7972,265,8602.2,38502.6,948.6,1416.9,0,22429.1,805.2,-4614
2019/5/2,16時,77031.5,7966,263,9089.2,43806.4,946.6,1375.9,0,14158.4,0,-576
