※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2024/10/1,0:00,"77,883 ","9,680 ",282 ,"4,434 ","60,318 ","3,185 ",716 ,0 ,0 ,0 ,-724 ,,,,,
2024/10/1,1:00,"74,104 ","9,680 ",282 ,"4,265 ","58,339 ","3,170 ",686 ,0 ,0 ,0 ,"-2,313 ",,,,,
2024/10/1,2:00,"73,500 ","9,684 ",282 ,"4,376 ","58,224 ","3,161 ",691 ,0 ,0 ,0 ,"-2,916 ",,,,,
2024/10/1,3:00,"75,084 ","9,681 ",284 ,"4,788 ","58,861 ","3,164 ",696 ,0 ,0 ,0 ,"-2,387 ",,,,,
2024/10/1,4:00,"76,982 ","9,674 ",284 ,"4,975 ","59,235 ","3,160 ",703 ,0 ,1 ,0 ,"-1,046 ",,,,,
2024/10/1,5:00,"79,163 ","9,681 ",283 ,"4,921 ","60,331 ","3,138 ",696 ,0 ,71 ,0 ,52 ,,,,,
2024/10/1,6:00,"80,793 ","9,679 ",282 ,"4,758 ","59,331 ","3,122 ",635 ,0 ,"3,280 ",0 ,-289 ,,,,,
2024/10/1,7:00,"87,327 ","9,688 ",281 ,"4,540 ","56,116 ","3,118 ",562 ,0 ,"14,342 ",0 ,"-1,313 ",,,,,
2024/10/1,8:00,"99,469 ","9,686 ",277 ,"4,642 ","55,655 ","3,090 ",529 ,0 ,"27,438 ",0 ,"-1,845 ",,,,,
2024/10/1,9:00,"110,791 ","9,684 ",259 ,"4,657 ","56,210 ","3,033 ",531 ,0 ,"38,337 ",0 ,"-1,913 ",,,,,
2024/10/1,10:00,"116,411 ","9,684 ",259 ,"4,709 ","56,675 ","3,017 ",591 ,0 ,"43,688 ",0 ,"-2,216 ",,,,,
2024/10/1,11:00,"118,486 ","9,683 ",258 ,"4,748 ","59,013 ","3,029 ",608 ,0 ,"43,219 ",0 ,"-2,071 ",,,,,
2024/10/1,12:00,"114,630 ","9,681 ",258 ,"4,475 ","57,642 ","3,027 ",625 ,0 ,"41,512 ",0 ,"-2,595 ",,,,,
2024/10/1,13:00,"120,604 ","9,679 ",258 ,"4,804 ","64,876 ","3,018 ",678 ,0 ,"38,926 ",0 ,"-1,633 ",,,,,
2024/10/1,14:00,"122,490 ","9,676 ",258 ,"5,460 ","71,302 ","3,080 ",709 ,0 ,"32,040 ",0 ,-30 ,,,,,
2024/10/1,15:00,"121,782 ","9,677 ",258 ,"6,590 ","78,597 ","3,109 ",673 ,0 ,"20,826 ",0 ,"2,048 ",,,,,
2024/10/1,16:00,"120,441 ","9,676 ",261 ,"7,820 ","84,474 ","3,106 ",670 ,0 ,"8,491 ",0 ,"5,950 ",,,,,
2024/10/1,17:00,"115,617 ","9,673 ",274 ,"8,368 ","85,195 ","3,133 ",692 ,0 ,945 ,0 ,"7,339 ",,,,,
2024/10/1,18:00,"112,629 ","9,672 ",274 ,"8,066 ","84,779 ","3,138 ",719 ,0 ,4 ,0 ,"5,984 ",,,,,
2024/10/1,19:00,"106,732 ","9,671 ",274 ,"7,188 ","82,833 ","3,134 ",672 ,0 ,1 ,0 ,"2,970 ",,,,,
2024/10/1,20:00,"101,137 ","9,677 ",275 ,"6,088 ","80,239 ","3,120 ",595 ,0 ,1 ,0 ,"1,150 ",,,,,
2024/10/1,21:00,"95,465 ","9,679 ",274 ,"5,233 ","76,121 ","3,099 ",598 ,0 ,0 ,0 ,463 ,,,,,
2024/10/1,22:00,"90,839 ","9,681 ",276 ,"4,762 ","72,002 ","3,106 ",579 ,0 ,0 ,0 ,442 ,,,,,
2024/10/1,23:00,"86,710 ","9,683 ",276 ,"4,430 ","68,230 ","3,104 ",663 ,0 ,0 ,0 ,338 ,,,,,
2024/10/2,0:00,"80,520 ","9,682 ",275 ,"4,012 ","63,690 ","3,104 ",781 ,0 ,1 ,0 ,"-1,017 ",,,,,
2024/10/2,1:00,"76,596 ","9,678 ",275 ,"3,946 ","62,126 ","3,104 ",871 ,0 ,1 ,0 ,"-3,393 ",,,,,
2024/10/2,2:00,"75,783 ","9,680 ",275 ,"3,917 ","61,864 ","3,117 ",969 ,0 ,1 ,0 ,"-4,031 ",,,,,
2024/10/2,3:00,"77,235 ","9,678 ",274 ,"4,091 ","62,598 ","3,125 ","1,034 ",0 ,1 ,0 ,"-3,560 ",,,,,
2024/10/2,4:00,"78,904 ","9,678 ",275 ,"4,339 ","62,643 ","3,128 ","1,165 ",0 ,2 ,0 ,"-2,328 ",,,,,
2024/10/2,5:00,"80,632 ","9,679 ",274 ,"4,551 ","63,643 ","3,128 ","1,159 ",0 ,67 ,0 ,"-1,856 ",,,,,
2024/10/2,6:00,"82,349 ","9,678 ",272 ,"4,499 ","62,860 ","3,121 ","1,005 ",0 ,"3,379 ",0 ,"-2,458 ",,,,,
2024/10/2,7:00,"89,756 ","9,685 ",271 ,"4,401 ","60,237 ","3,147 ",989 ,0 ,"13,742 ",0 ,"-2,704 ",,,,,
2024/10/2,8:00,"104,327 ","9,686 ",272 ,"4,451 ","63,165 ","3,144 ","1,071 ",0 ,"24,826 ",0 ,"-2,284 ",,,,,
2024/10/2,9:00,"115,459 ","9,684 ",272 ,"4,818 ","65,346 ","3,129 ","1,091 ",0 ,"32,870 ",0 ,"-1,756 ",,,,,
2024/10/2,10:00,"120,149 ","9,686 ",273 ,"4,883 ","65,025 ","3,115 ","1,046 ",0 ,"37,577 ",0 ,"-1,451 ",,,,,
2024/10/2,11:00,"123,181 ","9,684 ",272 ,"4,584 ","67,159 ","3,121 ","1,238 ",0 ,"38,257 ",0 ,"-1,125 ",,,,,
2024/10/2,12:00,"119,765 ","9,687 ",272 ,"4,405 ","66,816 ","3,126 ","1,415 ",0 ,"35,068 ",0 ,"-1,004 ",,,,,
2024/10/2,13:00,"124,772 ","9,681 ",273 ,"4,833 ","76,011 ","3,100 ","1,349 ",0 ,"29,219 ",0 ,321 ,,,,,
2024/10/2,14:00,"125,260 ","9,680 ",274 ,"5,518 ","81,971 ","3,097 ","1,303 ",0 ,"21,470 ",0 ,"1,943 ",,,,,
2024/10/2,15:00,"123,001 ","9,678 ",274 ,"6,620 ","85,583 ","3,135 ","1,206 ",0 ,"12,531 ",0 ,"3,985 ",,,,,
2024/10/2,16:00,"120,174 ","9,680 ",274 ,"7,852 ","86,626 ","3,148 ","1,320 ",0 ,"4,259 ",0 ,"7,023 ",,,,,
2024/10/2,17:00,"114,997 ","9,679 ",278 ,"8,180 ","85,656 ","3,168 ","1,322 ",0 ,355 ,0 ,"6,370 ",,,,,
2024/10/2,18:00,"111,743 ","9,680 ",278 ,"7,731 ","85,107 ","3,148 ","1,311 ",0 ,6 ,0 ,"4,484 ",,,,,
2024/10/2,19:00,"106,047 ","9,674 ",278 ,"6,765 ","82,302 ","3,148 ","1,214 ",0 ,2 ,0 ,"2,667 ",,,,,
2024/10/2,20:00,"100,709 ","9,676 ",279 ,"5,694 ","79,122 ","3,146 ","1,080 ",0 ,2 ,0 ,"1,708 ",,,,,
2024/10/2,21:00,"95,634 ","9,680 ",279 ,"4,911 ","75,845 ","3,125 ","1,035 ",0 ,2 ,0 ,760 ,,,,,
2024/10/2,22:00,"90,931 ","9,690 ",279 ,"4,549 ","72,587 ","3,124 ","1,070 ",0 ,1 ,0 ,-357 ,,,,,
2024/10/2,23:00,"86,662 ","9,688 ",280 ,"4,225 ","68,980 ","3,130 ","1,120 ",0 ,1 ,0 ,-757 ,,,,,
2024/10/3,0:00,"80,528 ","9,692 ",280 ,"4,143 ","63,909 ","3,117 ","1,255 ",0 ,1 ,0 ,"-1,872 ",,,,,
2024/10/3,1:00,"76,811 ","9,690 ",280 ,"4,110 ","62,373 ","3,128 ","1,164 ",0 ,5 ,0 ,"-3,939 ",,,,,
2024/10/3,2:00,"76,124 ","9,692 ",280 ,"4,137 ","62,209 ","3,143 ",955 ,0 ,6 ,0 ,"-4,305 ",,,,,
2024/10/3,3:00,"77,675 ","9,694 ",281 ,"4,300 ","63,536 ","3,160 ",803 ,0 ,6 ,0 ,"-4,094 ",,,,,
2024/10/3,4:00,"79,449 ","9,688 ",279 ,"4,452 ","64,526 ","3,169 ",710 ,0 ,3 ,0 ,"-3,380 ",,,,,
2024/10/3,5:00,"81,252 ","9,689 ",279 ,"4,621 ","65,974 ","3,150 ",683 ,0 ,36 ,0 ,"-3,170 ",,,,,
2024/10/3,6:00,"83,434 ","9,695 ",277 ,"4,634 ","66,375 ","3,142 ",748 ,0 ,"1,223 ",0 ,"-2,650 ",,,,,
2024/10/3,7:00,"89,803 ","9,694 ",277 ,"4,457 ","68,270 ","3,169 ",835 ,0 ,"4,756 ",0 ,"-1,635 ",,,,,
2024/10/3,8:00,"101,544 ","9,696 ",278 ,"4,695 ","73,581 ","3,158 ",892 ,0 ,"9,470 ",0 ,-212 ,,,,,
2024/10/3,9:00,"110,296 ","9,695 ",276 ,"5,364 ","78,007 ","3,159 ",920 ,0 ,"12,517 ",0 ,362 ,,,,,
2024/10/3,10:00,"111,957 ","9,697 ",277 ,"5,494 ","77,901 ","3,174 ",780 ,0 ,"14,168 ",0 ,462 ,,,,,
2024/10/3,11:00,"111,601 ","9,696 ",279 ,"5,570 ","77,338 ","3,209 ",769 ,0 ,"14,290 ",0 ,445 ,,,,,
2024/10/3,12:00,"106,416 ","9,699 ",277 ,"5,251 ","73,602 ","3,185 ",749 ,0 ,"13,368 ",0 ,281 ,,,,,
2024/10/3,13:00,"110,778 ","9,694 ",276 ,"5,703 ","78,724 ","3,149 ",641 ,0 ,"11,865 ",0 ,727 ,,,,,
2024/10/3,14:00,"111,425 ","9,699 ",276 ,"6,091 ","80,298 ","3,144 ",570 ,0 ,"9,064 ",0 ,"2,288 ",,,,,
2024/10/3,15:00,"110,692 ","9,695 ",271 ,"6,466 ","81,524 ","3,157 ",740 ,0 ,"5,385 ",0 ,"3,461 ",,,,,
2024/10/3,16:00,"110,043 ","9,697 ",273 ,"7,331 ","83,317 ","3,160 ",799 ,0 ,"1,882 ",0 ,"3,581 ",,,,,
2024/10/3,17:00,"107,457 ","9,698 ",280 ,"7,934 ","82,191 ","3,166 ",841 ,0 ,249 ,0 ,"3,095 ",,,,,
2024/10/3,18:00,"104,652 ","9,691 ",280 ,"8,106 ","80,580 ","3,153 ",821 ,0 ,3 ,0 ,"2,029 ",,,,,
2024/10/3,19:00,"99,997 ","9,694 ",281 ,"7,296 ","77,533 ","3,162 ",855 ,0 ,2 ,0 ,"1,181 ",,,,,
2024/10/3,20:00,"95,514 ","9,693 ",280 ,"6,561 ","74,166 ","3,156 ",862 ,0 ,2 ,0 ,803 ,,,,,
2024/10/3,21:00,"91,299 ","9,701 ",281 ,"6,303 ","70,571 ","3,145 ",867 ,0 ,1 ,0 ,435 ,,,,,
2024/10/3,22:00,"87,665 ","9,703 ",280 ,"6,188 ","67,913 ","3,141 ",900 ,0 ,1 ,0 ,-456 ,,,,,
2024/10/3,23:00,"84,201 ","9,705 ",279 ,"5,980 ","65,416 ","3,143 ","1,024 ",0 ,1 ,0 ,"-1,335 ",,,,,
2024/10/4,0:00,"79,164 ","9,703 ",279 ,"5,687 ","62,628 ","3,141 ","1,042 ",0 ,1 ,0 ,"-3,313 ",,,,,
2024/10/4,1:00,"75,822 ","9,704 ",280 ,"5,704 ","61,249 ","3,134 ","1,175 ",0 ,1 ,0 ,"-5,434 ",,,,,
2024/10/4,2:00,"75,660 ","9,703 ",279 ,"5,839 ","61,316 ","3,139 ","1,189 ",0 ,1 ,0 ,"-5,805 ",,,,,
2024/10/4,3:00,"77,606 ","9,706 ",279 ,"5,933 ","62,422 ","3,147 ","1,269 ",0 ,2 ,0 ,"-5,146 ",,,,,
2024/10/4,4:00,"79,632 ","9,701 ",281 ,"6,142 ","63,282 ","3,142 ","1,280 ",0 ,3 ,0 ,"-4,198 ",,,,,
2024/10/4,5:00,"81,568 ","9,706 ",280 ,"6,291 ","63,333 ","3,131 ","1,260 ",0 ,26 ,0 ,"-2,450 ",,,,,
2024/10/4,6:00,"83,908 ","9,702 ",278 ,"6,313 ","64,348 ","3,120 ","1,105 ",0 ,"1,157 ",0 ,"-2,106 ",,,,,
2024/10/4,7:00,"91,052 ","9,712 ",278 ,"6,375 ","66,536 ","3,134 ","1,003 ",0 ,"4,956 ",0 ,-935 ,,,,,
2024/10/4,8:00,"103,262 ","9,711 ",269 ,"6,604 ","72,619 ","3,124 ",950 ,0 ,"9,729 ",0 ,264 ,,,,,
2024/10/4,9:00,"111,915 ","9,712 ",263 ,"7,086 ","76,259 ","3,140 ","1,026 ",0 ,"14,010 ",0 ,429 ,,,,,
2024/10/4,10:00,"114,544 ","9,709 ",262 ,"6,956 ","76,062 ","3,048 ","1,047 ",0 ,"17,347 ",0 ,117 ,,,,,
2024/10/4,11:00,"114,719 ","9,710 ",263 ,"6,807 ","74,608 ","3,019 ","1,093 ",0 ,"19,482 ",0 ,-257 ,,,,,
2024/10/4,12:00,"110,579 ","9,709 ",262 ,"6,966 ","70,035 ","3,014 ","1,111 ",0 ,"20,140 ",0 ,-675 ,,,,,
2024/10/4,13:00,"114,911 ","9,707 ",264 ,"7,287 ","74,625 ","3,017 ","1,087 ",0 ,"17,792 ",0 ,"1,132 ",,,,,
