※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2026/1/1,0:00,"85,672 ","13,215 ",340 ,"4,575 ","59,207 ","4,043 ","3,399 ",0 ,4 ,0 ,878 ,,,,,
2026/1/1,1:00,"83,477 ","13,215 ",342 ,"4,411 ","57,275 ","4,035 ","3,444 ",0 ,2 ,0 ,746 ,,,,,
2026/1/1,2:00,"83,720 ","13,215 ",342 ,"4,258 ","57,566 ","4,033 ","3,416 ",0 ,2 ,0 ,878 ,,,,,
2026/1/1,3:00,"84,123 ","13,212 ",341 ,"4,344 ","57,555 ","4,042 ","3,449 ",0 ,2 ,0 ,"1,165 ",,,,,
2026/1/1,4:00,"83,695 ","13,213 ",340 ,"4,320 ","57,332 ","4,040 ","3,415 ",0 ,1 ,0 ,"1,031 ",,,,,
2026/1/1,5:00,"83,169 ","13,213 ",341 ,"4,370 ","56,748 ","4,038 ","3,385 ",0 ,2 ,0 ,"1,060 ",,,,,
2026/1/1,6:00,"83,542 ","13,216 ",340 ,"4,517 ","57,298 ","4,032 ","3,337 ",0 ,3 ,0 ,795 ,,,,,
2026/1/1,7:00,"86,395 ","13,213 ",340 ,"4,909 ","57,532 ","4,017 ","3,298 ",0 ,"1,671 ",0 ,"1,405 ",,,,,
2026/1/1,8:00,"88,776 ","13,217 ",344 ,"4,794 ","50,434 ","4,053 ","3,189 ",0 ,"11,635 ",0 ,"1,085 ",,,,,
2026/1/1,9:00,"85,564 ","13,214 ",348 ,"4,262 ","40,038 ","4,071 ","3,213 ",0 ,"23,893 ",0 ,"-3,489 ",,,,,
2026/1/1,10:00,"81,446 ","13,216 ",350 ,"3,987 ","34,889 ","3,954 ","3,112 ",0 ,"32,080 ",0 ,"-10,145 ",,,,,
2026/1/1,11:00,"79,327 ","13,210 ",347 ,"3,890 ","34,645 ","3,926 ","3,027 ",0 ,"34,059 ",358 ,"-13,776 ",,,,,
2026/1/1,12:00,"78,479 ","13,215 ",345 ,"3,877 ","35,703 ","3,943 ","3,070 ",0 ,"30,822 ",523 ,"-12,482 ",,,,,
2026/1/1,13:00,"76,928 ","13,216 ",344 ,"3,916 ","37,315 ","3,924 ","3,108 ",0 ,"25,511 ",49 ,"-10,408 ",,,,,
2026/1/1,14:00,"76,838 ","13,216 ",340 ,"4,001 ","40,960 ","3,912 ","3,112 ",0 ,"17,659 ",0 ,"-6,358 ",,,,,
2026/1/1,15:00,"79,480 ","13,215 ",337 ,"4,392 ","46,686 ","4,000 ","3,081 ",0 ,"8,029 ",0 ,-260 ,,,,,
2026/1/1,16:00,"84,743 ","13,213 ",339 ,"5,443 ","54,908 ","4,105 ","3,072 ",0 ,"1,188 ",0 ,"2,460 ",,,,,
2026/1/1,17:00,"92,640 ","13,209 ",340 ,"6,159 ","62,023 ","4,136 ","3,096 ",0 ,31 ,0 ,"3,632 ",,,,,
2026/1/1,18:00,"94,745 ","13,210 ",339 ,"6,447 ","63,255 ","4,144 ","3,069 ",0 ,20 ,0 ,"4,243 ",,,,,
2026/1/1,19:00,"95,036 ","13,213 ",338 ,"6,389 ","63,846 ","4,157 ","3,094 ",0 ,2 ,0 ,"3,982 ",,,,,
2026/1/1,20:00,"95,154 ","13,205 ",340 ,"5,836 ","65,032 ","4,166 ","2,999 ",0 ,1 ,0 ,"3,554 ",,,,,
2026/1/1,21:00,"93,995 ","13,206 ",339 ,"5,149 ","65,368 ","4,162 ","3,041 ",0 ,1 ,0 ,"2,717 ",,,,,
2026/1/1,22:00,"90,334 ","13,203 ",337 ,"4,718 ","63,321 ","4,159 ","2,899 ",0 ,11 ,0 ,"1,672 ",,,,,
2026/1/1,23:00,"87,360 ","13,204 ",339 ,"4,383 ","61,665 ","4,160 ","2,896 ",0 ,1 ,0 ,705 ,,,,,
2026/1/2,0:00,"82,690 ","13,203 ",338 ,"4,258 ","58,100 ","4,158 ","2,877 ",0 ,1 ,0 ,-258 ,,,,,
2026/1/2,1:00,"81,004 ","13,206 ",337 ,"4,152 ","56,673 ","4,157 ","2,755 ",0 ,1 ,0 ,-290 ,,,,,
2026/1/2,2:00,"82,222 ","13,205 ",338 ,"4,071 ","58,109 ","4,154 ","2,603 ",0 ,1 ,0 ,-267 ,,,,,
2026/1/2,3:00,"83,258 ","13,204 ",339 ,"4,142 ","59,121 ","4,161 ","2,385 ",0 ,1 ,0 ,-102 ,,,,,
2026/1/2,4:00,"83,267 ","13,208 ",338 ,"4,068 ","58,843 ","4,138 ","2,281 ",0 ,1 ,0 ,390 ,,,,,
2026/1/2,5:00,"83,477 ","13,204 ",337 ,"4,142 ","58,681 ","4,117 ","2,240 ",0 ,1 ,0 ,756 ,,,,,
2026/1/2,6:00,"85,472 ","13,203 ",338 ,"4,317 ","59,883 ","4,111 ","2,125 ",0 ,1 ,0 ,"1,498 ",,,,,
2026/1/2,7:00,"90,397 ","13,205 ",336 ,"4,428 ","62,804 ","4,099 ","2,032 ",0 ,"1,425 ",0 ,"2,059 ",,,,,
2026/1/2,8:00,"94,619 ","13,204 ",339 ,"4,467 ","59,467 ","4,103 ","1,958 ",0 ,"8,953 ",0 ,"2,110 ",,,,,
2026/1/2,9:00,"94,004 ","13,206 ",353 ,"4,227 ","51,258 ","4,157 ","1,851 ",0 ,"18,709 ",0 ,236 ,,,,,
2026/1/2,10:00,"91,253 ","13,207 ",350 ,"3,819 ","44,955 ","4,121 ","1,825 ",0 ,"26,428 ",0 ,"-3,448 ",,,,,
2026/1/2,11:00,"88,546 ","13,208 ",347 ,"3,764 ","42,052 ","4,004 ","1,857 ",0 ,"29,842 ",0 ,"-6,528 ",,,,,
2026/1/2,12:00,"86,849 ","13,206 ",352 ,"3,837 ","41,241 ","4,002 ","1,782 ",0 ,"29,440 ",0 ,"-7,017 ",,,,,
2026/1/2,13:00,"85,366 ","13,209 ",352 ,"3,902 ","43,587 ","3,970 ","1,637 ",0 ,"24,453 ",0 ,"-5,747 ",,,,,
2026/1/2,14:00,"85,198 ","13,209 ",343 ,"3,957 ","48,131 ","3,966 ","1,506 ",0 ,"17,331 ",0 ,"-3,265 ",,,,,
2026/1/2,15:00,"87,892 ","13,206 ",336 ,"4,314 ","56,153 ","4,074 ","1,484 ",0 ,"8,526 ",0 ,-196 ,,,,,
2026/1/2,16:00,"93,982 ","13,208 ",339 ,"5,302 ","65,954 ","4,135 ","1,458 ",0 ,"1,767 ",0 ,"1,823 ",,,,,
2026/1/2,17:00,"102,240 ","13,201 ",338 ,"6,309 ","72,344 ","4,151 ","1,505 ",0 ,50 ,0 ,"4,341 ",,,,,
2026/1/2,18:00,"105,564 ","13,201 ",339 ,"6,825 ","74,835 ","4,146 ","1,516 ",0 ,8 ,0 ,"4,701 ",,,,,
2026/1/2,19:00,"106,138 ","13,202 ",338 ,"6,579 ","75,105 ","4,150 ","1,625 ",0 ,4 ,0 ,"5,127 ",,,,,
2026/1/2,20:00,"105,865 ","13,207 ",338 ,"5,937 ","75,615 ","4,152 ","1,603 ",0 ,2 ,0 ,"5,006 ",,,,,
2026/1/2,21:00,"104,055 ","13,210 ",337 ,"5,091 ","74,602 ","4,149 ","1,464 ",0 ,2 ,0 ,"5,198 ",,,,,
2026/1/2,22:00,"99,331 ","13,206 ",336 ,"4,599 ","72,372 ","4,143 ","1,510 ",0 ,2 ,0 ,"3,158 ",,,,,
2026/1/2,23:00,"95,701 ","13,206 ",337 ,"4,533 ","69,738 ","4,152 ","1,558 ",0 ,2 ,0 ,"2,161 ",,,,,
2026/1/3,0:00,"89,766 ","13,207 ",338 ,"4,340 ","65,264 ","4,142 ","1,461 ",0 ,2 ,0 ,"1,005 ",,,,,
2026/1/3,1:00,"87,533 ","13,207 ",337 ,"4,325 ","63,828 ","4,144 ","1,454 ",0 ,2 ,0 ,233 ,,,,,
2026/1/3,2:00,"87,937 ","13,207 ",336 ,"4,095 ","64,356 ","4,141 ","1,577 ",0 ,2 ,0 ,225 ,,,,,
2026/1/3,3:00,"88,605 ","13,205 ",337 ,"4,136 ","64,924 ","4,146 ","1,624 ",0 ,2 ,0 ,227 ,,,,,
2026/1/3,4:00,"88,347 ","13,211 ",340 ,"4,111 ","64,707 ","4,110 ","1,718 ",0 ,3 ,0 ,150 ,,,,,
2026/1/3,5:00,"88,690 ","13,208 ",337 ,"4,182 ","64,963 ","4,093 ","1,721 ",0 ,4 ,0 ,177 ,,,,,
2026/1/3,6:00,"90,826 ","13,207 ",336 ,"4,442 ","66,107 ","4,085 ","1,706 ",0 ,4 ,0 ,937 ,,,,,
2026/1/3,7:00,"96,133 ","13,205 ",337 ,"4,575 ","68,001 ","4,087 ","1,654 ",0 ,"1,721 ",0 ,"2,534 ",,,,,
2026/1/3,8:00,"102,182 ","13,208 ",341 ,"4,487 ","64,068 ","4,108 ","1,637 ",33 ,"11,084 ",0 ,"3,229 ",,,,,
2026/1/3,9:00,"101,444 ","13,208 ",352 ,"4,072 ","54,124 ","4,140 ","1,697 ",33 ,"22,685 ",0 ,"1,143 ",,,,,
2026/1/3,10:00,"96,864 ","13,207 ",349 ,"3,806 ","47,046 ","4,020 ","1,751 ",33 ,"31,750 ",0 ,"-5,077 ",,,,,
2026/1/3,11:00,"92,306 ","13,210 ",352 ,"3,745 ","45,627 ","3,997 ","1,973 ",74 ,"34,952 ",517 ,"-11,566 ",,,,,
2026/1/3,12:00,"88,761 ","13,207 ",352 ,"3,735 ","45,332 ","4,005 ","2,199 ",168 ,"33,147 ","1,588 ","-13,221 ",,,,,
