※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2024/3/1,0時,92182.5,9572,344.5,8149.5,70794.5,2846.5,1246.5,0,0,0,-777
2024/3/1,1時,90450,9571,346.5,8122,69138,2838.5,1320.5,0,0,0,-871.5
2024/3/1,2時,92044,9569.5,345,8300.5,69953.5,2835.5,1542.5,0,0,0,-499.5
2024/3/1,3時,93894.5,9572.5,347,8537.5,70923.5,2833.5,1646.5,0,0,0,56
2024/3/1,4時,95286.5,9570.5,346.5,8774.5,72040.5,2833.5,1775,0,2,0,-35
2024/3/1,5時,98438,9572.5,346.5,9078,74924,2829.5,1811.5,0,3,0,-114.5
2024/3/1,6時,105905.5,9572,345,9630.5,80761.5,2825.5,1899,0,190.5,0,690
2024/3/1,7時,113188,9573,345,9846.5,83303,2814,1902,0,2745.5,0,2661.5
2024/3/1,8時,121151,9570,344.5,9894.5,81909,2804.5,1988.5,0,10446,0,4159
2024/3/1,9時,123651.5,9574.5,342.5,9524.5,75800.5,2770,1994,0,21630,0,2024
2024/3/1,10時,119472,9574.5,345.5,9171,65154,2815,2001,0,31137,0,-711.5
2024/3/1,11時,116241.5,9573.5,348.5,8736,57636,2838.5,1988.5,0,37636,301.5,-2499
2024/3/1,12時,109287,9573,349,8096.5,52135,2809.5,2021.5,0,40067,938.5,-5752.5
2024/3/1,13時,110429,9574.5,353,8276,53521.5,2796.5,2128,0,39349,554.5,-5551.5
2024/3/1,14時,108929.5,9571,354.5,8299,56284.5,2810.5,2180.5,0,33456.5,385,-4006.5
2024/3/1,15時,108203.5,9572,350.5,8712.5,63058,2784.5,2463,0,23218.5,0,-1939
2024/3/1,16時,110204.5,9572,347,9660,74072.5,2791.5,2794,0,10409,0,581
2024/3/1,17時,112475.5,9572.5,348.5,10756,82881.5,2849.5,2739,0,1743.5,0,1595.5
2024/3/1,18時,115694.5,9569.5,348,11338,85514.5,2861,2819.5,0,14.5,0,3230
2024/3/1,19時,114109,9570,350,10960,84369.5,2853,2860,0,0,0,3145
