※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2025/5/1,0:00,"65,851 ","10,349 ",332 ,"8,958 ","40,814 ","3,329 ",648 ,0 ,19 ,0 ,"1,421 ",,,,,
2025/5/1,1:00,"64,288 ","10,347 ",333 ,"9,082 ","39,944 ","3,333 ",614 ,0 ,19 ,0 ,632 ,,,,,
2025/5/1,2:00,"66,113 ","10,350 ",331 ,"9,330 ","41,461 ","3,361 ",583 ,0 ,20 ,0 ,704 ,,,,,
2025/5/1,3:00,"69,504 ","10,352 ",331 ,"9,547 ","43,224 ","3,396 ",569 ,0 ,20 ,0 ,"2,089 ",,,,,
2025/5/1,4:00,"71,534 ","10,349 ",331 ,"9,979 ","43,319 ","3,416 ",653 ,0 ,58 ,0 ,"3,452 ",,,,,
2025/5/1,5:00,"71,391 ","10,352 ",332 ,"9,823 ","41,943 ","3,418 ",739 ,0 ,"1,644 ",0 ,"3,182 ",,,,,
2025/5/1,6:00,"70,523 ","10,351 ",335 ,"9,388 ","35,657 ","3,352 ",742 ,0 ,"9,393 ",0 ,"1,331 ",,,,,
2025/5/1,7:00,"71,695 ","10,349 ",338 ,"9,068 ","28,279 ","3,291 ",704 ,0 ,"21,352 ",0 ,"-1,666 ",,,,,
2025/5/1,8:00,"77,472 ","10,349 ",341 ,"8,782 ","26,642 ","3,237 ",714 ,9 ,"32,084 ","1,057 ","-4,655 ",,,,,
2025/5/1,9:00,"82,005 ","10,349 ",340 ,"8,534 ","26,058 ","3,017 ",784 ,8 ,"39,810 ","1,915 ","-6,863 ",,,,,
2025/5/1,10:00,"83,294 ","10,355 ",334 ,"8,378 ","25,045 ","2,908 ",927 ,7 ,"44,582 ","2,463 ","-9,210 ",,,,,
2025/5/1,11:00,"84,134 ","10,346 ",332 ,"8,168 ","25,432 ","2,884 ","1,007 ",5 ,"46,875 ","2,721 ","-10,887 ",,,,,
2025/5/1,12:00,"81,451 ","10,347 ",330 ,"8,001 ","24,903 ","2,875 ","1,095 ",6 ,"45,623 ","3,654 ","-11,701 ",,,,,
2025/5/1,13:00,"83,050 ","10,346 ",332 ,"8,149 ","26,420 ","2,868 ","1,279 ",6 ,"42,540 ","2,643 ","-8,855 ",,,,,
2025/5/1,14:00,"82,209 ","10,344 ",335 ,"8,517 ","28,007 ","2,939 ","1,412 ",6 ,"36,287 ","1,368 ","-5,601 ",,,,,
2025/5/1,15:00,"81,434 ","10,345 ",334 ,"9,126 ","32,558 ","3,244 ","1,579 ",8 ,"26,438 ",685 ,"-2,156 ",,,,,
2025/5/1,16:00,"82,201 ","10,347 ",331 ,"9,838 ","39,821 ","3,397 ","1,748 ",0 ,"14,933 ",0 ,"1,828 ",,,,,
2025/5/1,17:00,"81,616 ","10,339 ",327 ,"10,723 ","46,572 ","3,409 ","1,794 ",0 ,"4,462 ",0 ,"4,015 ",,,,,
2025/5/1,18:00,"83,823 ","10,342 ",325 ,"11,685 ","49,283 ","3,426 ","2,023 ",0 ,308 ,0 ,"6,473 ",,,,,
2025/5/1,19:00,"83,311 ","10,347 ",327 ,"11,862 ","49,430 ","3,433 ","2,295 ",0 ,15 ,0 ,"5,639 ",,,,,
2025/5/1,20:00,"79,891 ","10,352 ",326 ,"11,255 ","48,323 ","3,434 ","2,485 ",0 ,2 ,0 ,"3,754 ",,,,,
2025/5/1,21:00,"75,934 ","10,351 ",326 ,"10,336 ","46,373 ","3,435 ","2,615 ",0 ,1 ,0 ,"2,530 ",,,,,
2025/5/1,22:00,"71,898 ","10,351 ",326 ,"9,648 ","43,878 ","3,431 ","2,522 ",0 ,0 ,0 ,"1,779 ",,,,,
2025/5/1,23:00,"68,849 ","10,355 ",326 ,"9,103 ","42,035 ","3,420 ","2,475 ",0 ,0 ,0 ,"1,160 ",,,,,
2025/5/2,0:00,"64,554 ","10,354 ",325 ,"8,910 ","38,937 ","3,436 ","2,547 ",0 ,0 ,0 ,76 ,,,,,
2025/5/2,1:00,"62,785 ","10,352 ",327 ,"8,876 ","37,800 ","3,445 ","2,427 ",0 ,1 ,0 ,-412 ,,,,,
2025/5/2,2:00,"64,487 ","10,351 ",327 ,"9,126 ","38,870 ","3,454 ","2,467 ",0 ,1 ,0 ,-71 ,,,,,
2025/5/2,3:00,"67,467 ","10,350 ",327 ,"9,455 ","40,608 ","3,453 ","2,539 ",0 ,1 ,0 ,771 ,,,,,
2025/5/2,4:00,"68,976 ","10,353 ",328 ,"9,780 ","41,183 ","3,452 ","2,488 ",0 ,38 ,0 ,"1,389 ",,,,,
2025/5/2,5:00,"68,807 ","10,349 ",328 ,"9,869 ","39,780 ","3,471 ","2,527 ",0 ,892 ,0 ,"1,632 ",,,,,
2025/5/2,6:00,"69,256 ","10,351 ",332 ,"9,751 ","37,706 ","3,496 ","2,495 ",0 ,"4,232 ",0 ,923 ,,,,,
2025/5/2,7:00,"72,335 ","10,350 ",337 ,"9,612 ","36,710 ","3,451 ","2,319 ",121 ,"10,248 ",34 ,-659 ,,,,,
2025/5/2,8:00,"78,930 ","10,350 ",337 ,"9,553 ","37,393 ","3,318 ","2,196 ",383 ,"17,550 ",346 ,"-1,749 ",,,,,
2025/5/2,9:00,"83,374 ","10,352 ",342 ,"9,596 ","37,460 ","3,121 ","2,323 ",447 ,"21,728 ","1,765 ","-1,551 ",,,,,
2025/5/2,10:00,"84,177 ","10,348 ",340 ,"9,641 ","37,524 ","3,077 ","2,172 ",608 ,"22,898 ","3,491 ","-1,837 ",,,,,
2025/5/2,11:00,"84,420 ","10,352 ",339 ,"9,469 ","39,259 ","3,075 ","2,360 ",419 ,"22,356 ","3,985 ","-2,804 ",,,,,
2025/5/2,12:00,"81,271 ","10,347 ",340 ,"9,214 ","37,642 ","3,071 ","2,688 ",258 ,"22,451 ","4,445 ","-4,483 ",,,,,
2025/5/2,13:00,"83,703 ","10,349 ",339 ,"9,298 ","39,474 ","3,119 ","2,696 ",254 ,"22,073 ","3,660 ","-3,639 ",,,,,
2025/5/2,14:00,"83,382 ","10,351 ",335 ,"9,465 ","39,885 ","3,242 ","2,672 ",235 ,"20,055 ","2,776 ","-2,623 ",,,,,
2025/5/2,15:00,"82,924 ","10,343 ",332 ,"9,662 ","40,824 ","3,255 ","2,515 ",198 ,"18,125 ","1,264 ","-2,122 ",,,,,
2025/5/2,16:00,"83,335 ","10,344 ",331 ,"10,299 ","43,039 ","3,355 ","2,420 ",91 ,"13,187 ",0 ,353 ,,,,,
2025/5/2,17:00,"83,266 ","10,341 ",329 ,"11,152 ","45,966 ","3,433 ","2,358 ",0 ,"5,779 ",0 ,"3,934 ",,,,,
2025/5/2,18:00,"83,584 ","10,346 ",331 ,"11,634 ","48,803 ","3,438 ","2,249 ",0 ,764 ,0 ,"6,053 ",,,,,
2025/5/2,19:00,"82,542 ","10,348 ",330 ,"11,420 ","48,976 ","3,447 ","2,202 ",0 ,6 ,0 ,"5,851 ",,,,,
2025/5/2,20:00,"79,593 ","10,352 ",329 ,"11,023 ","47,970 ","3,448 ","2,181 ",0 ,6 ,0 ,"4,319 ",,,,,
2025/5/2,21:00,"75,664 ","10,349 ",331 ,"10,407 ","45,626 ","3,439 ","2,149 ",0 ,6 ,0 ,"3,384 ",,,,,
2025/5/2,22:00,"71,601 ","10,351 ",331 ,"10,202 ","41,683 ","3,446 ","2,117 ",0 ,6 ,0 ,"3,488 ",,,,,
2025/5/2,23:00,"68,660 ","10,349 ",331 ,"9,776 ","39,314 ","3,446 ","2,010 ",0 ,2 ,0 ,"3,448 ",,,,,
2025/5/3,0:00,"64,270 ","10,350 ",331 ,"9,877 ","35,382 ","3,435 ","2,157 ",0 ,1 ,0 ,"2,768 ",,,,,
