※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2021/1/1,0時,101129.4,2986,332,4548.8,84359.3,1636.1,2199.2,0,0,0,5067
2021/1/1,1時,97334.3,2990,329,4336.8,81998.9,1635.1,2143.5,0,0,0,3897
2021/1/1,2時,95441.2,2989,322,4256.8,80967.6,1637.1,2157.7,0,0,0,3118
2021/1/1,3時,93975.8,2989,323,4609.8,79675.2,1638.1,2207.7,0,0,0,2534
2021/1/1,4時,91950.6,2988,321,4192.8,78290.8,1638.1,2200.9,0,0,0,2320
2021/1/1,5時,89926.6,2987,323,4134.8,77268.7,1632.1,2247,0,0,0,1328
2021/1/1,6時,90063,2992,322,3907.8,77476.7,1643.1,2194.4,0,0,0,1524
2021/1/1,7時,93833.8,2986,322,3756.8,78363.2,1650.1,2132.8,0,1493.9,0,3136
2021/1/1,8時,98894.9,2990,322,3880.8,77537.5,1648.4,2132.8,0,8418.4,0,1964
2021/1/1,9時,98225.2,2987,324,3617.8,73235.7,1649.4,2161.3,0,16387,0,-2131
2021/1/1,10時,95070,2992,328,3263.8,70804.2,1656.4,2153.2,0,21999.4,0,-8136
2021/1/1,11時,92399.4,2988,334,3206.8,68185.1,1657.4,2223.8,0,24328.3,0,-10526
2021/1/1,12時,91013.7,2989,333,3198.8,67404.8,1655.4,2191.2,0,23994.5,0,-10750
2021/1/1,13時,88995.8,2989,334,3234.8,68366.9,1653.4,2231.4,0,20483.3,0,-10299
2021/1/1,14時,87793.1,2990,331,3452.8,70566.1,1648.4,2170.4,0,15095.4,0,-8468
2021/1/1,15時,89289.3,2990,335,3825.8,74916.1,1655.4,2104,0,8164,0,-4694
2021/1/1,16時,94090.2,2982,334,4599.8,80150.8,1650.4,2046.6,0,1499.6,0,830
2021/1/1,17時,103266.9,2987,335,5918.8,86639.3,1640.4,2043.9,0,21.5,0,3686
2021/1/1,18時,105800.5,2985,332,6555.8,87468.2,1645.4,2082.1,0,0,0,4732
2021/1/1,19時,105513.2,2986,334,6480.8,87587.1,1645.4,2044.9,0,0,0,4438
2021/1/1,20時,104805.1,2989,333,5644.8,87138.9,1646.1,2021.3,0,0,0,5027
2021/1/1,21時,102914,2990,334,5223.8,85681.2,1643.1,2062.9,0,0,0,4980
2021/1/1,22時,98308.8,2988,333,4645.8,83104,1633.1,2024.9,0,0,0,3579
2021/1/1,23時,96250.5,2987,330,4479.8,82053.9,1631.1,1994.7,0,0,0,2769
2021/1/2,0時,91554.6,2989,326,3705.8,79509.2,1623.1,1934.5,0,0,0,1464
2021/1/2,1時,89697.1,2990,328,3496.8,78570.1,1625.1,1911.1,0,0,0,772
2021/1/2,2時,90230.5,2990,328,3604.8,79028.5,1626.1,1895.1,0,0,0,761
2021/1/2,3時,90187.8,2985,329,3758.8,79088.9,1626.1,1882,0,0,0,521
2021/1/2,4時,88923.1,2986,326,3689.8,78037.1,1627.1,1791.1,0,0,0,462
2021/1/2,5時,87762.6,2989,327,3831.8,76968.9,1626.1,1710.8,0,0,0,315
2021/1/2,6時,89112.6,2991,329,3778.8,78047.6,1626.1,1573.1,0,1,0,766
2021/1/2,7時,94026.7,2985,327,3696.8,79403.6,1629.1,1569.9,0,1617.3,0,2805
2021/1/2,8時,100149.6,2991,328,4059.8,79274.4,1641.4,1497.9,0,8617.1,0,1739
2021/1/2,9時,100418,2989,330,3764.8,74985.9,1640.4,1481.9,0,16148,0,-921
2021/1/2,10時,97438.9,2987,328,3253.8,72796.1,1633.4,1470.4,0,21650.2,0,-6681
