※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2026/4/1,0:00,"74,984 ","10,468 ",337 ,"8,432 ","51,151 ","3,768 ","1,544 ",0 ,3 ,0 ,-749 ,,,,,
2026/4/1,1:00,"73,310 ","10,470 ",336 ,"8,463 ","49,981 ","3,737 ","1,441 ",0 ,0 ,0 ,"-1,158 ",,,,,
2026/4/1,2:00,"75,027 ","10,470 ",334 ,"8,605 ","51,808 ","3,727 ","1,292 ",0 ,0 ,0 ,"-1,250 ",,,,,
2026/4/1,3:00,"77,863 ","10,470 ",337 ,"8,724 ","53,831 ","3,732 ","1,217 ",0 ,0 ,0 ,-478 ,,,,,
2026/4/1,4:00,"79,716 ","10,467 ",336 ,"8,864 ","55,433 ","3,731 ","1,072 ",0 ,1 ,0 ,-224 ,,,,,
2026/4/1,5:00,"80,481 ","10,462 ",336 ,"8,782 ","56,325 ","3,725 ",795 ,0 ,153 ,0 ,-129 ,,,,,
2026/4/1,6:00,"80,813 ","10,468 ",338 ,"8,736 ","53,892 ","3,721 ",643 ,0 ,"3,371 ",0 ,-400 ,,,,,
2026/4/1,7:00,"84,564 ","10,473 ",341 ,"8,879 ","52,610 ","3,699 ",527 ,0 ,"10,006 ",0 ,"-2,032 ",,,,,
2026/4/1,8:00,"93,362 ","10,470 ",346 ,"9,121 ","56,600 ","3,691 ",411 ,0 ,"14,124 ",0 ,"-1,453 ",,,,,
2026/4/1,9:00,"99,309 ","10,470 ",350 ,"8,929 ","58,991 ","3,654 ",381 ,3 ,"15,742 ",37 ,739 ,,,,,
2026/4/1,10:00,"100,028 ","10,472 ",352 ,"8,717 ","60,033 ","3,599 ",370 ,13 ,"15,403 ",251 ,"1,035 ",,,,,
2026/4/1,11:00,"100,883 ","10,480 ",352 ,"8,602 ","62,371 ","3,590 ",353 ,4 ,"14,501 ",43 ,585 ,,,,,
2026/4/1,12:00,"96,875 ","10,495 ",350 ,"8,709 ","60,594 ","3,603 ",336 ,4 ,"12,627 ",55 ,119 ,,,,,
2026/4/1,13:00,"100,519 ","10,518 ",347 ,"8,959 ","65,762 ","3,606 ",368 ,0 ,"9,963 ",0 ,960 ,,,,,
2026/4/1,14:00,"100,796 ","10,544 ",343 ,"9,239 ","67,538 ","3,619 ",444 ,0 ,"7,891 ",0 ,"1,142 ",,,,,
