※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2024/9/1,0:00,"78,473 ","10,329 ",279 ,"9,560 ","54,568 ","3,031 ","1,080 ",0 ,0 ,0 ,-353 ,,,,,
2024/9/1,1:00,"74,230 ","10,325 ",279 ,"9,349 ","51,025 ","3,018 ",987 ,0 ,0 ,0 ,-745 ,,,,,
2024/9/1,2:00,"73,144 ","10,328 ",280 ,"9,306 ","50,111 ","3,017 ",945 ,0 ,0 ,0 ,-831 ,,,,,
2024/9/1,3:00,"73,989 ","10,327 ",279 ,"9,399 ","50,603 ","3,022 ",917 ,0 ,1 ,0 ,-551 ,,,,,
2024/9/1,4:00,"74,711 ","10,318 ",278 ,"9,594 ","50,789 ","3,027 ",889 ,0 ,2 ,0 ,-168 ,,,,,
2024/9/1,5:00,"75,089 ","10,316 ",277 ,"9,606 ","50,902 ","3,000 ",802 ,0 ,330 ,0 ,-129 ,,,,,
2024/9/1,6:00,"74,415 ","10,318 ",277 ,"9,111 ","47,190 ","2,988 ",707 ,0 ,"4,433 ",0 ,-597 ,,,,,
2024/9/1,7:00,"78,456 ","10,326 ",275 ,"9,060 ","44,157 ","2,955 ",640 ,0 ,"13,259 ",0 ,"-2,210 ",,,,,
2024/9/1,8:00,"85,211 ","10,329 ",273 ,"9,236 ","43,481 ","2,829 ",690 ,0 ,"22,868 ",0 ,"-4,481 ",,,,,
2024/9/1,9:00,"93,283 ","10,328 ",273 ,"9,407 ","44,285 ","2,760 ",701 ,0 ,"30,915 ",129 ,"-5,383 ",,,,,
2024/9/1,10:00,"98,982 ","10,333 ",272 ,"9,502 ","44,423 ","2,738 ",720 ,5 ,"35,417 ",468 ,"-4,417 ",,,,,
2024/9/1,11:00,"102,235 ","10,333 ",271 ,"9,468 ","44,919 ","2,747 ",706 ,0 ,"38,133 ",370 ,"-4,330 ",,,,,
2024/9/1,12:00,"104,480 ","10,329 ",268 ,"9,331 ","47,822 ","2,738 ",742 ,0 ,"37,595 ",399 ,"-4,341 ",,,,,
2024/9/1,13:00,"104,778 ","10,331 ",268 ,"9,289 ","50,314 ","2,756 ",781 ,0 ,"34,427 ",105 ,"-3,382 ",,,,,
