※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2026/5/1,0:00,"67,652 ","10,066 ",334 ,"8,754 ","42,151 ","3,803 ","1,961 ",0 ,1 ,0 ,577 ,,,,,
2026/5/1,1:00,"65,699 ","10,065 ",334 ,"8,871 ","40,891 ","3,760 ","2,102 ",0 ,2 ,0 ,-324 ,,,,,
2026/5/1,2:00,"67,141 ","10,064 ",334 ,"8,995 ","41,765 ","3,717 ","2,392 ",0 ,2 ,0 ,-120 ,,,,,
2026/5/1,3:00,"70,292 ","10,062 ",333 ,"9,598 ","43,324 ","3,722 ","2,489 ",0 ,11 ,0 ,756 ,,,,,
2026/5/1,4:00,"71,993 ","10,067 ",333 ,"10,054 ","44,021 ","3,731 ","2,670 ",0 ,57 ,0 ,"1,073 ",,,,,
2026/5/1,5:00,"72,978 ","10,063 ",334 ,"10,237 ","43,608 ","3,726 ","2,849 ",0 ,593 ,0 ,"1,575 ",,,,,
2026/5/1,6:00,"74,810 ","10,068 ",336 ,"10,064 ","44,101 ","3,682 ","2,827 ",0 ,"2,771 ",0 ,964 ,,,,,
2026/5/1,7:00,"79,025 ","10,066 ",335 ,"10,224 ","44,756 ","3,593 ","2,700 ",200 ,"6,615 ",311 ,730 ,,,,,
2026/5/1,8:00,"85,718 ","10,062 ",338 ,"9,895 ","45,382 ","3,570 ","2,789 ",288 ,"11,060 ","1,580 ","2,618 ",,,,,
2026/5/1,9:00,"90,018 ","10,066 ",336 ,"9,520 ","45,673 ","3,556 ","2,852 ",292 ,"15,103 ","3,291 ","2,923 ",,,,,
2026/5/1,10:00,"89,899 ","10,064 ",335 ,"9,542 ","44,933 ","3,541 ","2,894 ",464 ,"18,181 ","4,408 ",400 ,,,,,
2026/5/1,11:00,"88,940 ","10,064 ",335 ,"9,550 ","42,841 ","3,512 ","3,177 ",395 ,"20,885 ","4,167 ","-1,429 ",,,,,
2026/5/1,12:00,"84,968 ","10,063 ",335 ,"9,262 ","40,177 ","3,485 ","3,323 ",417 ,"22,370 ","3,251 ","-4,044 ",,,,,
2026/5/1,13:00,"86,054 ","10,061 ",335 ,"9,360 ","41,171 ","3,475 ","3,359 ",440 ,"23,010 ","1,952 ","-4,703 ",,,,,
