※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2025/10/1,0:00,"77,250 ","10,196 ",243 ,"5,601 ","57,017 ","3,816 ",781 ,0 ,3 ,0 ,-361 ,,,,,
2025/10/1,1:00,"73,790 ","10,195 ",244 ,"5,557 ","54,876 ","3,813 ",892 ,0 ,3 ,0 ,"-1,748 ",,,,,
2025/10/1,2:00,"73,122 ","10,196 ",243 ,"5,431 ","54,871 ","3,824 ",994 ,0 ,3 ,0 ,"-2,390 ",,,,,
2025/10/1,3:00,"74,629 ","10,195 ",242 ,"5,554 ","55,505 ","3,815 ",970 ,0 ,3 ,0 ,"-1,609 ",,,,,
2025/10/1,4:00,"76,524 ","10,191 ",244 ,"5,795 ","55,763 ","3,815 ",938 ,0 ,4 ,0 ,-177 ,,,,,
2025/10/1,5:00,"78,544 ","10,194 ",243 ,"6,206 ","57,391 ","3,812 ",901 ,0 ,44 ,0 ,-199 ,,,,,
2025/10/1,6:00,"80,720 ","10,194 ",239 ,"6,050 ","58,306 ","3,803 ",765 ,0 ,"1,678 ",0 ,-268 ,,,,,
2025/10/1,7:00,"86,448 ","10,199 ",240 ,"5,523 ","59,055 ","3,800 ",734 ,0 ,"7,741 ",0 ,-806 ,,,,,
2025/10/1,8:00,"97,384 ","10,193 ",243 ,"5,562 ","60,921 ","3,729 ",696 ,0 ,"16,085 ",0 ,-2 ,,,,,
2025/10/1,9:00,"106,015 ","10,173 ",245 ,"5,646 ","62,192 ","3,640 ",732 ,0 ,"22,689 ",0 ,739 ,,,,,
2025/10/1,10:00,"108,948 ","10,115 ",244 ,"5,392 ","62,074 ","3,538 ",632 ,0 ,"27,243 ",0 ,-255 ,,,,,
2025/10/1,11:00,"110,138 ","10,130 ",247 ,"5,382 ","61,389 ","3,523 ",570 ,0 ,"30,199 ",0 ,"-1,265 ",,,,,
2025/10/1,12:00,"105,898 ","10,156 ",247 ,"5,344 ","58,576 ","3,514 ",549 ,0 ,"29,639 ",0 ,"-2,086 ",,,,,
2025/10/1,13:00,"110,006 ","10,178 ",248 ,"5,695 ","63,359 ","3,564 ",576 ,0 ,"26,779 ",0 ,-350 ,,,,,
2025/10/1,14:00,"110,478 ","10,196 ",244 ,"6,133 ","66,823 ","3,665 ",532 ,0 ,"22,864 ",0 ,71 ,,,,,
2025/10/1,15:00,"109,500 ","10,192 ",239 ,"7,263 ","71,251 ","3,740 ",433 ,0 ,"15,728 ",0 ,702 ,,,,,
2025/10/1,16:00,"109,089 ","10,191 ",239 ,"8,936 ","73,859 ","3,774 ",373 ,0 ,"7,018 ",0 ,"4,743 ",,,,,
2025/10/1,17:00,"105,739 ","10,196 ",242 ,"9,409 ","74,735 ","3,781 ",433 ,0 ,985 ,0 ,"6,013 ",,,,,
2025/10/1,18:00,"103,362 ","10,191 ",243 ,"9,332 ","75,126 ","3,792 ",431 ,0 ,23 ,0 ,"4,274 ",,,,,
2025/10/1,19:00,"98,494 ","10,187 ",242 ,"8,436 ","72,864 ","3,810 ",412 ,0 ,4 ,0 ,"2,586 ",,,,,
2025/10/1,20:00,"93,653 ","10,196 ",243 ,"6,997 ","70,421 ","3,811 ",407 ,0 ,3 ,0 ,"1,622 ",,,,,
2025/10/1,21:00,"88,658 ","10,200 ",243 ,"6,430 ","66,712 ","3,812 ",423 ,0 ,0 ,0 ,888 ,,,,,
2025/10/1,22:00,"84,609 ","10,202 ",244 ,"5,899 ","63,302 ","3,814 ",397 ,0 ,0 ,0 ,795 ,,,,,
2025/10/1,23:00,"81,050 ","10,200 ",245 ,"5,411 ","60,762 ","3,818 ",462 ,0 ,0 ,0 ,198 ,,,,,
2025/10/2,0:00,"75,545 ","10,199 ",244 ,"5,405 ","56,123 ","3,820 ",430 ,0 ,0 ,0 ,-634 ,,,,,
2025/10/2,1:00,"71,873 ","10,202 ",243 ,"5,454 ","53,269 ","3,820 ",399 ,0 ,0 ,0 ,"-1,471 ",,,,,
2025/10/2,2:00,"71,387 ","10,203 ",243 ,"5,523 ","52,956 ","3,827 ",382 ,0 ,0 ,0 ,"-1,704 ",,,,,
