※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2023/9/1,0時,91579,9452,277,6195.9,73396.6,2422.6,1223.9,0,0,0,-1416
2023/9/1,1時,86110.2,9453,278,6020.9,70933.8,2417.6,1153.9,0,0,0,-4172
2023/9/1,2時,84376.5,9452,277,6021.9,70184.2,2416.6,1151.8,0,0,0,-5139
2023/9/1,3時,84709.1,9451,276,6112.9,70711.5,2421.6,1138.1,0,0,0,-5399
2023/9/1,4時,85505.2,9448,277,6188.9,70821.8,2421.6,1062.9,0,1,0,-4720
2023/9/1,5時,87453.5,9448,279,6233.9,71645.1,2418.6,1035.9,0,386,0,-3997
2023/9/1,6時,92367.7,9452,276,6207.9,70832.3,2396.6,956.1,0,5150.8,0,-2915
2023/9/1,7時,104469.2,9457,277,6565.9,72266,2381.6,829.2,0,14468.5,0,-1790
2023/9/1,8時,122469,9457,277,7078.9,78263.6,2389.6,744,0,24558.9,0,-339
2023/9/1,9時,136227,9457,276,7339.9,83110.4,2384.6,775.6,0,32428.5,0,403
2023/9/1,10時,141624.6,9452,282,7700.9,83190.7,2429.6,749.6,0,37390.8,0,344
2023/9/1,11時,144954.2,9455,277,7728.9,84688.9,2401.5,747.5,0,39346.4,0,223
2023/9/1,12時,142094.5,9452,280,7520.9,83224.6,2437.5,845.4,0,38608.1,0,-344
2023/9/1,13時,146396.5,9454,273,8244.9,88773.1,2422.7,1057.5,0,35745.3,0,315
2023/9/1,14時,146704.3,9450,264,8849.9,94046.6,2389.2,926.9,0,29189.7,0,1489
2023/9/1,15時,144355.6,9452,262,9452.9,97764.9,2372.2,885,0,20233.6,0,3827
2023/9/1,16時,142029.7,9432,262,10270.9,100157.6,2379.2,1080.9,0,10193.1,0,8161
2023/9/1,17時,133446.1,9437,267,9861.9,99835.7,2430.2,1116,0,2377.3,0,8021
2023/9/1,18時,128886.3,9443,267,9317.9,99024.5,2429.2,1134.1,0,73.6,0,7115
2023/9/1,19時,123029.7,9451,266,8803.9,96227.6,2432.2,984,0,2,0,4809
2023/9/1,20時,116248.8,9453,267,8095.9,93134.7,2421.2,840,0,1,0,1984
2023/9/1,21時,109880.4,9451,268,7426.9,88416,2417.2,813.3,0,0,0,1044
2023/9/1,22時,104338.9,9451,267,6885.9,84156.7,2423.2,695.1,0,0,0,413
2023/9/1,23時,98778.4,9447,268,6567.9,78855.6,2431.2,686.7,0,0,0,475
2023/9/2,0時,90921.8,9446,267,6094.9,71679.8,2416.2,624.9,0,0,0,343
2023/9/2,1時,85500.1,9445,269,6026.9,66691.1,2419.2,627.9,0,0,0,-21
2023/9/2,2時,83559.2,9445,268,5920.9,65369.3,2421.2,671.8,0,0,0,-564
2023/9/2,3時,83526.7,9446,268,5955.9,65642.7,2425.2,691.9,0,0,0,-922
2023/9/2,4時,83592.9,9441,269,6016.9,65400,2434.2,676.8,0,1,0,-658
2023/9/2,5時,83586.1,9448,268,5969.9,65173.2,2438.2,623.8,0,352,0,-706
2023/9/2,6時,84014.5,9451,269,5882.9,62508.6,2426.2,601.8,0,4787,0,-1937
2023/9/2,7時,90132.9,9455,265,6015.9,60799,2392.2,465.9,0,14477.9,0,-3763
2023/9/2,8時,101956.1,9454,266,6129.9,61750.4,2381.2,445,0,24578.6,0,-3068
2023/9/2,9時,112744.5,9453,263,6227.9,63735.6,2369.2,435.8,0,32239,0,-2010
2023/9/2,10時,117930.7,9455,267,6202.9,63636.1,2401.2,431,0,36416.5,0,-956
2023/9/2,11時,121543.1,9458,267,6521.9,66001.9,2390.2,447,0,37644.1,0,-1277
2023/9/2,12時,121161.5,9456,266,6467.9,67516.5,2370.2,441,0,35380.9,0,-808
