※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2021/12/1,0時,86199.2,7336,293,5460.9,74090.5,1624.2,2604.6,0,0,0,-5392
2021/12/1,1時,84744.4,7337,293,5578.9,73207.3,1619.2,2549,0,0,0,-5982
2021/12/1,2時,86753.1,7337,294,5899.9,74449.1,1622.2,2545.9,0,0,0,-5559
2021/12/1,3時,89167.5,7338,293,6207.9,75468.9,1625.2,2599.5,0,0,0,-4539
2021/12/1,4時,90559.2,7335,294,6699.9,75352.6,1613.2,2700.5,0,1,0,-3623
2021/12/1,5時,91923,7336,289,6771.9,76021.9,1613.2,2627,0,0,0,-2918
2021/12/1,6時,97069.2,7334,276,6864.9,79574,1614.2,2598.1,0,11,0,-1391
2021/12/1,7時,103749.8,7338,274,7027.9,82378.7,1606.2,2569.9,0,1890.1,0,524
2021/12/1,8時,112781.7,7334,273,7123.9,85098.3,1607.2,2734,0,7772.3,0,690
2021/12/1,9時,116980,7337,274,7092.9,82677.7,1589.2,2799.9,0,14643.3,0,396
2021/12/1,10時,114130.7,7338,274,7291.9,75153,1550.2,2894.6,0,21841,0,-2374
2021/12/1,11時,113403.3,7335,277,7505.9,71546.8,1543.2,2933.8,0,26382.6,0,-4291
2021/12/1,12時,107347.5,7336,277,7620.9,67698.1,1551.2,2989.7,0,26521.6,0,-6823
2021/12/1,13時,111061.3,7278,275,7852.9,72456.6,1515.2,3011.3,0,22922.3,0,-4417
2021/12/1,14時,112169.1,7266,278,8196.9,77089.6,1509.2,2972.5,0,16254.9,0,-1574
2021/12/1,15時,113545,7292,277,8296.9,85779.2,1516.2,2958.4,0,7286.3,0,-57
2021/12/1,16時,118014.9,7312,280,8951.9,93673,1519.2,2962.4,0,973.4,0,2150
2021/12/1,17時,120571.6,7329,281,9602.9,95600,1524.2,2977.1,0,9.4,0,3106
2021/12/1,18時,119935.4,7335,280,9571.9,95095.4,1510.2,2920.9,0,0,0,3081
2021/12/1,19時,116783.2,7332,281,9335.9,93150.3,1490.2,2800.8,0,0,0,2249
2021/12/1,20時,112875.5,7331,281,8583.9,91104.4,1490.2,2693,0,0,0,1192
2021/12/1,21時,107918.5,7333,281,8257.9,87096.4,1487.2,2722,0,0,0,538
