※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2024/2/1,0時,91039.5,9070,332.5,5853,71762,2661,1748.5,0,0,0,-445.5
2024/2/1,1時,89514,9070,335,5779.5,70831,2649.5,1893.5,0,0,0,-1097
2024/2/1,2時,90922.5,9070,332.5,5772,71045,2657.5,2107,0,0,0,-92
2024/2/1,3時,92716.5,9068,336.5,5937.5,72133.5,2667.5,2323.5,0,0,0,230
2024/2/1,4時,93630,9072,335.5,6094,72501.5,2660.5,2714.5,0,0,0,236
2024/2/1,5時,95942,9068,334,6158,74651,2655.5,2781,0,0,0,259.5
2024/2/1,6時,102568,9070,335,6908.5,80261.5,2659.5,2796.5,0,8.5,0,471
2024/2/1,7時,109580,9073,328.5,7375,84661.5,2661.5,2823.5,0,2083,0,501
2024/2/1,8時,117876.5,9069,324,7987.5,86291,2670,2939,0,8847.5,0,-345
2024/2/1,9時,122119.5,9069,322.5,8002,82536.5,2664,3006,0,16047,0,352
2024/2/1,10時,119810,9073,325,7329.5,76312.5,2677,2945,0,21368.5,0,-351
2024/2/1,11時,118892,9070,324,6916,73764.5,2651.5,2930,0,24907,0,-1799.5
2024/2/1,12時,113892,9072,319.5,6096.5,71669.5,2614,2912.5,0,23462.5,0,-2337.5
2024/2/1,13時,117007,9065,321.5,6149.5,75479,2613.5,2995.5,0,20568,0,-264
2024/2/1,14時,117012.5,9068,322,6432.5,79568.5,2614.5,2967,0,15675.5,0,292
2024/2/1,15時,117688,9067,322.5,7092,85915,2624.5,3041.5,0,9047,0,521
2024/2/1,16時,120841.5,9067,326,8385.5,93635,2663,3144.5,0,2656,0,937
2024/2/1,17時,124356,9058,321,9294,98259,2626,3182,0,131.5,0,1448
2024/2/1,18時,125740.5,9059,330.5,9560.5,99441,2628,3111,0,2.5,0,1560.5
2024/2/1,19時,123126.5,9058,336.5,9027.5,98080,2627,2949,0,0,0,1010
2024/2/1,20時,120051,9069,335.5,8064.5,96175.5,2612,2904,0,0,0,859
2024/2/1,21時,115030.5,9067,337.5,7322.5,92149,2600,2939.5,0,0,0,594
2024/2/1,22時,108611,9068,335,6631,86768.5,2587.5,2847,0,0,0,353
2024/2/1,23時,103420,9070,336,6107,82616.5,2586.5,2800,0,0,0,-113
2024/2/2,0時,97767,9072,335,5811.5,77708,2579.5,2834.5,0,0,0,-573
2024/2/2,1時,96183.5,9071,335.5,5875.5,76016,2580,2860.5,0,0,0,-557
2024/2/2,2時,97518,9070,333,5965.5,78183,2578.5,2746.5,0,0,0,-1357.5
2024/2/2,3時,98909.5,9070,337,6001.5,79381,2576.5,2693.5,0,0,0,-1161
2024/2/2,4時,99884,9071,335,6290.5,79986.5,2575.5,2586,0,0,0,-967
2024/2/2,5時,103014,9071,336,6411.5,82016.5,2581.5,2510.5,0,0,0,86
2024/2/2,6時,112131,9071,336,7026,90205,2587,2485,0,13.5,0,389.5
2024/2/2,7時,121170.5,9071,332.5,8213,95917.5,2588.5,2380.5,0,1540,0,1088.5
2024/2/2,8時,131644.5,9074,320,8563.5,98640,2553,2355.5,0,7590.5,0,2507
2024/2/2,9時,136019,9074,322,8105,96581.5,2542.5,2381,0,13900.5,0,3058.5
2024/2/2,10時,132821.5,9071,321,7296.5,89231,2525.5,2379,0,19534,0,2411
2024/2/2,11時,129452,9074,327,6144,81855.5,2546.5,2500,0,24721,0,2221.5
2024/2/2,12時,122599,9074,326,5702,74439.5,2541.5,2537.5,0,29515,0,-1569.5
2024/2/2,13時,124180,9075,333.5,5814.5,75767.5,2586,2666,0,29403.5,0,-1509
2024/2/2,14時,123010.5,9069,338.5,6401,79036.5,2563,2670,0,23966,0,-1076
2024/2/2,15時,123155,9134,337,7539.5,86992,2581,2677,0,14496.5,0,-648.5
2024/2/2,16時,126155.5,9161,338,8614,96997.5,2608.5,2677.5,0,4619,0,1098.5
2024/2/2,17時,128785,9189,336,9299,102189.5,2569,2786.5,0,406,0,1958.5
2024/2/2,18時,129505,9219,334.5,9597,102777.5,2572.5,2951,0,0.5,0,2014
2024/2/2,19時,126605,9241,337,8946.5,100774,2573,2963,0,0,0,1735.5
2024/2/2,20時,122988,9273,336.5,7536.5,98923,2572,2940,0,0,0,1363.5
2024/2/2,21時,117851.5,9309,335.5,6725.5,95186,2575,2970.5,0,0,0,718
2024/2/2,22時,111471.5,9337,337.5,6041,89764,2567,2953.5,0,0,0,439
2024/2/2,23時,106665.5,9368,336,5375,85745.5,2578.5,2985,0,0,0,237
2024/2/3,0時,100478,9398,336,4905.5,80498,2582,2878,0,0,0,-168
2024/2/3,1時,98203.5,9414,336,4851.5,78192,2584.5,2757.5,0,0,0,35
2024/2/3,2時,98772.5,9413,335.5,4848.5,78682.5,2584,2690,0,0,0,212
2024/2/3,3時,99328,9411,336,5041,79089,2588,2636,0,0,0,221
2024/2/3,4時,98870.5,9420,338.5,4937.5,78892,2588.5,2469.5,0,0,0,231
2024/2/3,5時,99001.5,9413,337,4716.5,79351.5,2585.5,2365.5,0,0,0,225
2024/2/3,6時,102326,9415,337.5,4976.5,82399.5,2590,2208.5,0,14.5,0,367
2024/2/3,7時,106894.5,9413,336,5730,82841.5,2571,1999,0,3117.5,0,864.5
2024/2/3,8時,111498.5,9415,336,6041,77340.5,2545,1818,0,13471.5,0,515
2024/2/3,9時,111872.5,9416,339,6004,68854.5,2576.5,1729,0,23473,0,-535.5
2024/2/3,10時,107950,9417,335,5328.5,61087,2535.5,1661,0,31341.5,0,-3790.5
2024/2/3,11時,104892.5,9414,333.5,4771,58053,2539,1545.5,0,35551,0,-7346.5
2024/2/3,12時,101275,9432,333,4546.5,57291.5,2539,1515.5,0,34769,0,-9170
2024/2/3,13時,100226.5,9467,335.5,4621,58801,2543,1683,0,29456.5,0,-6705.5
2024/2/3,14時,99328.5,9496,339,4710.5,62630.5,2594.5,1941.5,0,20404,0,-2803
2024/2/3,15時,100018,9524,336,5228.5,69739.5,2537,1864,0,10881,0,-112
2024/2/3,16時,104109,9549,338,6624,79684,2570,1835,0,2662.5,0,822
2024/2/3,17時,110462.5,9581,335.5,7834.5,86987,2527.5,1932,0,80.5,0,1155
2024/2/3,18時,112635,9609,334.5,8248.5,88407.5,2531.5,1943,0,1,0,1530
2024/2/3,19時,111559.5,9634,334,7794.5,87974,2534,1878,0,0,0,1377
2024/2/3,20時,109370,9642,335.5,6483.5,87716,2530,1818.5,0,0,0,808
2024/2/3,21時,105020,9648,332.5,5499.5,85006,2529.5,1674,0,0,0,298.5
2024/2/3,22時,99670,9650,332,5125.5,80139,2531,1579.5,0,0,0,287
2024/2/3,23時,95880,9649,335.5,4613.5,77493.5,2537.5,1534,0,0,0,-303.5
2024/2/4,0時,90708.5,9649,332.5,4414,74270,2535,1648.5,0,0,0,-2154.5
2024/2/4,1時,88879,9647,332,4550.5,72310,2533.5,1639.5,0,0,0,-2159
2024/2/4,2時,90090,9647,334,4650.5,73151,2527.5,1777,0,0,0,-2016.5
2024/2/4,3時,91206.5,9647,333,5003,73799.5,2522,1874.5,0,0,0,-1995
2024/2/4,4時,90894.5,9645,333.5,4922.5,73129,2500.5,1825,0,0,0,-1476
2024/2/4,5時,89964.5,9644,335,4781,71468,2479.5,1858.5,0,0,0,-622.5
2024/2/4,6時,91107.5,9647,334.5,4822,71830,2465.5,1886.5,0,11.5,0,87
2024/2/4,7時,95381,9647,332,5185,73943.5,2452,1755.5,0,1373,0,655
2024/2/4,8時,101543.5,9643,333.5,5766.5,74693,2442.5,1656,0,6283,0,691.5
2024/2/4,9時,104224,9644,333,6047.5,69845.5,2442.5,1763,0,14027.5,0,77
2024/2/4,10時,102778.5,9644,332,5624.5,60977,2419.5,1845,0,23075.5,0,-1171
2024/2/4,11時,100458,9648,332.5,5290.5,56472,2423,1858,0,28016,0,-3615
2024/2/4,12時,98093,9658,333,4843.5,56579,2431,1821,0,29369,0,-6980.5
2024/2/4,13時,95914,9686,333,4491.5,57127.5,2448.5,1883.5,0,27326.5,0,-7425.5
2024/2/4,14時,94492.5,9717,334.5,4467,59774,2474,2078,0,21296,0,-5688
2024/2/4,15時,95039,9744,334.5,4879,64296.5,2524,2254,0,12653.5,0,-1680
2024/2/4,16時,99447.5,9776,337,6121,74405,2537.5,2181,0,4159.5,0,-107
2024/2/4,17時,107809.5,9796,336,7350,84312,2509,2178,0,266.5,0,1022
2024/2/4,18時,112047.5,9826,334.5,7924.5,87896.5,2534.5,2239.5,0,1,0,1253
2024/2/4,19時,111516,9863,335,7592.5,87681,2536,2269,0,0,0,1202
2024/2/4,20時,109474,9888,335,6634,87483.5,2534.5,2123.5,0,0,0,427
2024/2/4,21時,105399,9922,334,5737.5,84744.5,2542.5,2003.5,0,0,0,78
2024/2/4,22時,98459.5,9928,334,4901,79512.5,2539.5,1926.5,0,0,0,-724
2024/2/4,23時,94324.5,9923,335.5,4746.5,76409.5,2547,1944.5,0,0,0,-1614
2024/2/5,0時,89457.5,9922,333.5,4746,73842.5,2540,1873.5,0,0,0,-3843.5
2024/2/5,1時,88341,9923,332,4923.5,74685.5,2535,1807.5,0,0,0,-5913
2024/2/5,2時,90261,9921,332,5003.5,76704,2537.5,1661.5,0,0,0,-5915
2024/2/5,3時,92119,9925,332,5068.5,77513.5,2539.5,1432.5,0,0,0,-4716
2024/2/5,4時,93798,9927,333,5323,78358,2535,1219.5,0,0,0,-3931.5
2024/2/5,5時,97571.5,9926,334,5290.5,81010,2533,1059,0,0,0,-2618.5
2024/2/5,6時,107321.5,9929,332,5625,88705,2533.5,861.5,0,9.5,0,-729
2024/2/5,7時,118601,9928,326.5,6198,97379,2522,652,0,845,0,720.5
2024/2/5,8時,131975,9932,319,7650.5,105015,2495,571,0,3225,0,2738.5
2024/2/5,9時,139743.5,9922,316,8017.5,108146.5,2484.5,535.5,0,5817,0,4470
2024/2/5,10時,139587.5,9923,316.5,7601.5,107744.5,2468,591.5,0,7346,0,3561
2024/2/5,11時,139035.5,9927,317,7201.5,107503,2478.5,671.5,0,7764,0,3135.5
2024/2/5,12時,134857.5,9939,328.5,6639,105456,2487.5,729.5,0,7492,0,1747.5
2024/2/5,13時,139542.5,9968,332.5,6927,107687.5,2478,883,0,6976,0,4254
