※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2023/8/1,0時,95423,9800,271,6252.9,78070.2,2328,562.9,0,0,0,-1944
2023/8/1,1時,89842.2,9797,269,6018.9,74661.1,2322,604.2,0,0,0,-3940
2023/8/1,2時,87783.3,9797,271,6242.9,73599.2,2321,579.2,0,0,0,-5106
2023/8/1,3時,87909,9796,270,6334.9,73740.9,2319,571.2,0,0,0,-5178
2023/8/1,4時,88300.8,9796,270,6317.9,74025,2319,439.9,0,11,0,-4935
2023/8/1,5時,90113.6,9795,269,6215.9,74429.3,2314,366.4,0,615,0,-3954
2023/8/1,6時,94529.9,9789,271,5972.9,74119.7,2324,339.4,0,4530.9,0,-2908
2023/8/1,7時,106593,9803,272,6235.9,75975.7,2338,326.5,0,12664.9,0,-1093
2023/8/1,8時,125356.8,9794,276,6887.9,84741.2,2349,328.5,0,20976.2,0,-72
2023/8/1,9時,138881.9,9794,271,7754.9,88688.3,2316,378.4,0,29024.3,0,513
2023/8/1,10時,144889.5,9789,272,7915.9,88076.9,2314,543,0,35732.7,0,98
2023/8/1,11時,147375.6,9828,269,7663.9,88173.9,2310,634,0,38427.8,0,-39
2023/8/1,12時,143203.3,9839,268,7184.9,84203.9,2302,732,0,39952.5,0,-1379
2023/8/1,13時,145678.8,9860,272,7930.9,87060.1,2338,859,0,38102.8,0,-888
2023/8/1,14時,144903.4,9864,272,8550.9,88816.7,2344,908,0,33547.8,0,461
2023/8/1,15時,143111.6,9870,268,9420.9,93222.3,2332,924,0,26016.4,0,907
2023/8/1,16時,141952,9866,264,10237.9,98276.5,2256,816,0,16680.6,0,3409
2023/8/1,17時,135446.7,9858,264,10714.9,99709.7,2258,793,0,7237.1,0,4460
2023/8/1,18時,130684,9860,269,10328.9,101101.9,2292,848,0,1368.2,0,4485
2023/8/1,19時,125805,9870,268,10007.9,99996.2,2289,814,0,14.9,0,2414
2023/8/1,20時,118892.2,9873,269,8837.9,95778.3,2284,818,0,1,0,918
2023/8/1,21時,112100.5,9870,269,7771.9,90451.6,2284,858,0,0,0,497
2023/8/1,22時,105835.7,9876,269,6778.9,85148.8,2298,897,0,0,0,501
2023/8/1,23時,99650,9863,269,6673.9,79211.1,2302,878,0,0,0,382
2023/8/2,0時,91468.2,9866,268,6489.9,71975.3,2298,897,0,0,0,-398
2023/8/2,1時,86117.3,9865,268,6322.9,68795.4,2300,926,0,0,0,-2427
2023/8/2,2時,84346.5,9862,269,6425.9,67595.6,2305,893,0,0,0,-3036
2023/8/2,3時,84616.6,9868,269,6387.9,67962.7,2300,852,0,0,0,-3050
2023/8/2,4時,85168.7,9874,268,6621.9,67448.8,2301,841,0,21,0,-2235
2023/8/2,5時,86501.7,9865,268,6742.9,66940.8,2281,879,0,1370,0,-1874
2023/8/2,6時,91533,9878,268,6669.9,65569.5,2272,850,0,8140.6,0,-2137
2023/8/2,7時,103387.8,9885,272,6747.9,65532,2312,804,0,19176.9,0,-1402
2023/8/2,8時,123621.2,9875,271,7400.9,72403.4,2303,802,0,31270.9,0,-766
