※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2026/3/1,0:00,"77,073 ","11,088 ",342 ,"6,101 ","51,114 ","4,111 ","3,573 ",0 ,0 ,0 ,712 ,,,,,
2026/3/1,1:00,"75,772 ","11,097 ",343 ,"6,009 ","49,280 ","4,110 ","3,611 ",0 ,0 ,0 ,"1,307 ",,,,,
2026/3/1,2:00,"77,655 ","11,107 ",343 ,"6,023 ","50,149 ","4,109 ","3,554 ",0 ,0 ,0 ,"2,346 ",,,,,
2026/3/1,3:00,"80,371 ","11,113 ",342 ,"6,186 ","51,954 ","4,109 ","3,465 ",0 ,0 ,0 ,"3,188 ",,,,,
2026/3/1,4:00,"81,801 ","11,125 ",343 ,"6,358 ","53,785 ","4,100 ","3,271 ",0 ,0 ,0 ,"2,802 ",,,,,
2026/3/1,5:00,"82,410 ","11,132 ",343 ,"6,542 ","53,385 ","4,097 ","3,296 ",0 ,0 ,0 ,"3,606 ",,,,,
2026/3/1,6:00,"82,049 ","11,138 ",342 ,"6,710 ","52,089 ","4,079 ","3,246 ",0 ,640 ,0 ,"3,785 ",,,,,
2026/3/1,7:00,"80,941 ","11,140 ",345 ,"6,418 ","45,029 ","4,038 ","3,012 ",0 ,"8,626 ",0 ,"2,306 ",,,,,
2026/3/1,8:00,"81,684 ","11,142 ",352 ,"6,227 ","35,125 ","3,838 ","2,869 ",86 ,"24,478 ",265 ,"-2,373 ",,,,,
2026/3/1,9:00,"82,430 ","11,137 ",349 ,"5,958 ","31,062 ","3,495 ","2,683 ",152 ,"36,964 ","2,451 ","-9,229 ",,,,,
2026/3/1,10:00,"80,607 ","11,138 ",338 ,"5,542 ","27,390 ","3,380 ","2,526 ",204 ,"44,512 ","4,951 ","-14,198 ",,,,,
2026/3/1,11:00,"79,178 ","11,139 ",337 ,"5,165 ","26,689 ","3,326 ","2,297 ",217 ,"47,355 ","7,351 ","-17,116 ",,,,,
2026/3/1,12:00,"77,906 ","11,135 ",338 ,"5,231 ","27,395 ","3,329 ","2,352 ",281 ,"45,756 ","10,152 ","-17,617 ",,,,,
2026/3/1,13:00,"76,345 ","11,137 ",340 ,"5,316 ","27,021 ","3,333 ","2,498 ",209 ,"44,357 ","7,599 ","-17,637 ",,,,,
2026/3/1,14:00,"74,555 ","11,137 ",348 ,"5,473 ","28,837 ","3,378 ","2,434 ",277 ,"37,936 ","4,939 ","-14,965 ",,,,,
2026/3/1,15:00,"74,777 ","11,136 ",349 ,"5,942 ","32,496 ","3,533 ","2,403 ",271 ,"27,018 ","1,509 ","-8,104 ",,,,,
2026/3/1,16:00,"78,012 ","11,138 ",341 ,"6,682 ","43,372 ","3,862 ","2,459 ",0 ,"11,732 ",0 ,"-1,579 ",,,,,
2026/3/1,17:00,"85,573 ","11,133 ",338 ,"7,763 ","54,516 ","4,023 ","2,495 ",0 ,"1,602 ",0 ,"3,688 ",,,,,
2026/3/1,18:00,"91,696 ","11,135 ",341 ,"8,518 ","60,370 ","4,053 ","2,542 ",0 ,24 ,0 ,"4,697 ",,,,,
2026/3/1,19:00,"92,098 ","11,136 ",339 ,"8,097 ","62,328 ","4,058 ","2,549 ",0 ,11 ,0 ,"3,550 ",,,,,
2026/3/1,20:00,"90,925 ","11,138 ",341 ,"7,661 ","62,737 ","4,063 ","2,399 ",0 ,0 ,0 ,"2,550 ",,,,,
2026/3/1,21:00,"87,932 ","11,139 ",338 ,"7,155 ","61,841 ","4,069 ","2,335 ",0 ,0 ,0 ,"1,029 ",,,,,
2026/3/1,22:00,"83,128 ","11,139 ",338 ,"6,203 ","58,612 ","4,068 ","2,254 ",0 ,0 ,0 ,487 ,,,,,
2026/3/1,23:00,"80,099 ","11,085 ",340 ,"5,838 ","56,425 ","4,072 ","2,166 ",0 ,0 ,0 ,145 ,,,,,
2026/3/2,0:00,"76,045 ","10,936 ",338 ,"5,427 ","53,815 ","4,054 ","2,083 ",0 ,0 ,0 ,-629 ,,,,,
2026/3/2,1:00,"75,495 ","10,941 ",342 ,"5,434 ","53,744 ","4,033 ","2,053 ",0 ,0 ,0 ,"-1,065 ",,,,,
2026/3/2,2:00,"77,802 ","10,939 ",339 ,"5,392 ","55,957 ","4,029 ","2,095 ",0 ,0 ,0 ,-964 ,,,,,
2026/3/2,3:00,"81,064 ","10,941 ",338 ,"5,691 ","58,484 ","4,032 ","2,043 ",0 ,0 ,0 ,-478 ,,,,,
2026/3/2,4:00,"83,511 ","10,937 ",341 ,"6,094 ","60,198 ","4,020 ","2,015 ",0 ,0 ,0 ,-111 ,,,,,
2026/3/2,5:00,"86,891 ","10,945 ",340 ,"6,343 ","63,249 ","4,019 ","1,948 ",0 ,0 ,0 ,39 ,,,,,
2026/3/2,6:00,"93,019 ","10,955 ",340 ,"7,004 ","67,706 ","4,018 ","1,847 ",0 ,652 ,0 ,491 ,,,,,
2026/3/2,7:00,"98,683 ","10,965 ",343 ,"7,282 ","67,605 ","4,030 ","1,862 ",0 ,"6,254 ",0 ,311 ,,,,,
2026/3/2,8:00,"106,601 ","10,978 ",350 ,"6,871 ","65,870 ","4,036 ","1,917 ",0 ,"16,299 ",0 ,254 ,,,,,
2026/3/2,9:00,"110,784 ","10,988 ",353 ,"6,340 ","62,069 ","3,995 ","1,889 ",0 ,"25,404 ",255 ,-296 ,,,,,
2026/3/2,10:00,"109,483 ","10,998 ",344 ,"5,832 ","58,436 ","3,878 ","1,919 ",0 ,"30,354 ",559 ,"-2,292 ",,,,,
2026/3/2,11:00,"107,966 ","11,005 ",342 ,"5,489 ","56,235 ","3,747 ","1,780 ",0 ,"32,177 ",584 ,"-2,817 ",,,,,
2026/3/2,12:00,"102,976 ","11,018 ",345 ,"5,322 ","53,750 ","3,741 ","1,833 ",0 ,"31,094 ",580 ,"-4,141 ",,,,,
2026/3/2,13:00,"106,712 ","11,030 ",355 ,"5,551 ","58,947 ","3,763 ","1,851 ",0 ,"27,184 ",0 ,"-1,980 ",,,,,
2026/3/2,14:00,"106,298 ","11,038 ",360 ,"5,910 ","63,838 ","3,902 ","1,912 ",0 ,"19,849 ",0 ,-512 ,,,,,
2026/3/2,15:00,"106,382 ","11,052 ",352 ,"7,029 ","69,047 ","3,910 ","1,838 ",0 ,"11,284 ",0 ,"1,874 ",,,,,
2026/3/2,16:00,"108,311 ","11,061 ",342 ,"8,080 ","76,389 ","3,887 ","1,822 ",0 ,"3,798 ",0 ,"2,927 ",,,,,
2026/3/2,17:00,"110,092 ","11,071 ",339 ,"8,850 ","80,123 ","3,894 ","1,878 ",0 ,386 ,0 ,"3,553 ",,,,,
2026/3/2,18:00,"111,277 ","11,079 ",340 ,"9,165 ","81,127 ","3,895 ","1,911 ",0 ,9 ,0 ,"3,742 ",,,,,
2026/3/2,19:00,"108,296 ","11,091 ",339 ,"8,850 ","79,207 ","3,887 ","1,937 ",0 ,1 ,0 ,"2,963 ",,,,,
2026/3/2,20:00,"105,052 ","11,102 ",339 ,"8,582 ","77,624 ","3,894 ","1,969 ",0 ,1 ,0 ,"1,519 ",,,,,
2026/3/2,21:00,"100,370 ","11,111 ",340 ,"7,901 ","74,265 ","3,897 ","1,839 ",0 ,0 ,0 ,"1,003 ",,,,,
2026/3/2,22:00,"94,891 ","11,123 ",339 ,"7,309 ","69,438 ","3,898 ","1,762 ",0 ,0 ,0 ,"1,000 ",,,,,
2026/3/2,23:00,"90,197 ","11,128 ",339 ,"6,226 ","66,624 ","3,905 ","1,702 ",0 ,0 ,0 ,250 ,,,,,
2026/3/3,0:00,"84,520 ","11,137 ",339 ,"5,771 ","62,822 ","3,899 ","1,875 ",0 ,0 ,0 ,"-1,333 ",,,,,
2026/3/3,1:00,"82,904 ","11,140 ",341 ,"5,652 ","61,959 ","3,900 ","2,048 ",0 ,0 ,0 ,"-2,153 ",,,,,
2026/3/3,2:00,"84,481 ","11,148 ",340 ,"5,903 ","62,369 ","3,904 ","2,093 ",0 ,0 ,0 ,"-1,296 ",,,,,
2026/3/3,3:00,"87,164 ","11,157 ",339 ,"6,073 ","63,934 ","3,902 ","2,001 ",0 ,0 ,0 ,-255 ,,,,,
2026/3/3,4:00,"88,629 ","11,155 ",342 ,"6,326 ","64,881 ","3,900 ","1,905 ",0 ,1 ,0 ,108 ,,,,,
2026/3/3,5:00,"91,144 ","11,159 ",343 ,"6,801 ","66,553 ","3,900 ","1,937 ",0 ,1 ,0 ,448 ,,,,,
2026/3/3,6:00,"96,355 ","11,162 ",344 ,"7,141 ","71,147 ","3,907 ","2,049 ",0 ,342 ,0 ,246 ,,,,,
2026/3/3,7:00,"103,251 ","11,170 ",346 ,"7,461 ","75,689 ","3,939 ","2,030 ",0 ,"2,304 ",0 ,291 ,,,,,
2026/3/3,8:00,"114,261 ","11,180 ",350 ,"8,254 ","81,304 ","3,924 ","2,155 ",0 ,"5,551 ",0 ,"1,514 ",,,,,
2026/3/3,9:00,"119,814 ","11,192 ",350 ,"8,257 ","82,592 ","3,901 ","2,287 ",0 ,"8,450 ",1 ,"2,774 ",,,,,
2026/3/3,10:00,"118,802 ","11,201 ",351 ,"7,482 ","80,991 ","3,893 ","2,230 ",0 ,"11,136 ",1 ,"1,514 ",,,,,
2026/3/3,11:00,"117,766 ","11,214 ",355 ,"6,795 ","79,731 ","3,814 ","2,243 ",0 ,"13,092 ",1 ,512 ,,,,,
2026/3/3,12:00,"112,581 ","11,221 ",356 ,"6,369 ","75,213 ","3,776 ","2,269 ",0 ,"13,931 ",2 ,-579 ,,,,,
2026/3/3,13:00,"115,740 ","11,217 ",355 ,"6,834 ","78,135 ","3,763 ","2,179 ",0 ,"13,338 ",1 ,-98 ,,,,,
2026/3/3,14:00,"115,478 ","11,218 ",353 ,"7,100 ","79,303 ","3,867 ","2,114 ",0 ,"11,402 ",1 ,114 ,,,,,
